Distance[um],dz[um],Mag_E[V_per_meter]
0,1.4,860614
0.020202,1.4,838638
0.040404,1.4,864282
0.0606061,1.4,927108
0.0808081,1.4,984072
0.10101,1.4,1.02167e+06
0.121212,1.4,1.07325e+06
0.141414,1.4,1.13566e+06
0.161616,1.4,1.20603e+06
0.181818,1.4,1.28173e+06
0.20202,1.4,1.3604e+06
0.222222,1.4,1.43995e+06
0.242424,1.4,1.51852e+06
0.262626,1.4,1.59454e+06
0.282828,1.4,1.66668e+06
0.30303,1.4,1.73387e+06
0.323232,1.4,1.79531e+06
0.343434,1.4,1.85045e+06
0.363636,1.4,1.87613e+06
0.383838,1.4,1.91096e+06
0.40404,1.4,1.95259e+06
0.424242,1.4,1.94294e+06
0.444444,1.4,1.90152e+06
0.464646,1.4,1.85791e+06
0.484848,1.4,1.81228e+06
0.505051,1.4,1.76476e+06
0.525253,1.4,1.71547e+06
0.545455,1.4,1.66449e+06
0.565657,1.4,1.57857e+06
0.585859,1.4,1.48846e+06
0.606061,1.4,1.40563e+06
0.626263,1.4,1.3326e+06
0.646465,1.4,1.27185e+06
0.666667,1.4,1.22586e+06
0.686869,1.4,1.19707e+06
0.707071,1.4,1.18791e+06
0.727273,1.4,1.20079e+06
0.747475,1.4,1.17964e+06
0.767677,1.4,1.16109e+06
0.787879,1.4,1.16668e+06
0.808081,1.4,1.19343e+06
0.828283,1.4,1.23144e+06
0.848485,1.4,1.25469e+06
0.868687,1.4,1.27869e+06
0.888889,1.4,1.30419e+06
0.909091,1.4,1.33184e+06
0.929293,1.4,1.36212e+06
0.949495,1.4,1.39537e+06
0.969697,1.4,1.43178e+06
0.989899,1.4,1.47142e+06
1.0101,1.4,1.5142e+06
1.0303,1.4,1.55987e+06
1.05051,1.4,1.57412e+06
1.07071,1.4,1.55618e+06
1.09091,1.4,1.53316e+06
1.11111,1.4,1.50644e+06
1.13131,1.4,1.47755e+06
1.15152,1.4,1.44813e+06
1.17172,1.4,1.41996e+06
1.19192,1.4,1.39495e+06
1.21212,1.4,1.37512e+06
1.23232,1.4,1.29155e+06
1.25253,1.4,1.22916e+06
1.27273,1.4,1.22396e+06
1.29293,1.4,1.22114e+06
1.31313,1.4,1.22856e+06
1.33333,1.4,1.24487e+06
1.35354,1.4,1.26878e+06
1.37374,1.4,1.29906e+06
1.39394,1.4,1.33453e+06
1.41414,1.4,1.37408e+06
1.43434,1.4,1.41665e+06
1.45455,1.4,1.46124e+06
1.47475,1.4,1.50692e+06
1.49495,1.4,1.5528e+06
1.51515,1.4,1.59806e+06
1.53535,1.4,1.64195e+06
1.55556,1.4,1.68375e+06
1.57576,1.4,1.7145e+06
1.59596,1.4,1.73026e+06
1.61616,1.4,1.73961e+06
1.63636,1.4,1.74261e+06
1.65657,1.4,1.73938e+06
1.67677,1.4,1.70914e+06
1.69697,1.4,1.66112e+06
1.71717,1.4,1.60658e+06
1.73737,1.4,1.54601e+06
1.75758,1.4,1.48018e+06
1.77778,1.4,1.41015e+06
1.79798,1.4,1.33726e+06
1.81818,1.4,1.26316e+06
1.83838,1.4,1.18979e+06
1.85859,1.4,1.11936e+06
1.87879,1.4,1.05439e+06
1.89899,1.4,997674
1.91919,1.4,938560
1.93939,1.4,866680
1.9596,1.4,826840
1.9798,1.4,818040
2,1.4,839216
0,1.42,882072
0.020202,1.42,902689
0.040404,1.42,975653
0.0606061,1.42,1.07063e+06
0.0808081,1.42,1.1003e+06
0.10101,1.42,1.14533e+06
0.121212,1.42,1.20252e+06
0.141414,1.42,1.2689e+06
0.161616,1.42,1.34176e+06
0.181818,1.42,1.41867e+06
0.20202,1.42,1.49744e+06
0.222222,1.42,1.57616e+06
0.242424,1.42,1.65314e+06
0.262626,1.42,1.727e+06
0.282828,1.42,1.79659e+06
0.30303,1.42,1.86101e+06
0.323232,1.42,1.91965e+06
0.343434,1.42,1.97213e+06
0.363636,1.42,2.01173e+06
0.383838,1.42,2.04567e+06
0.40404,1.42,2.08813e+06
0.424242,1.42,2.05145e+06
0.444444,1.42,2.00387e+06
0.464646,1.42,1.95508e+06
0.484848,1.42,1.9052e+06
0.505051,1.42,1.85436e+06
0.525253,1.42,1.7642e+06
0.545455,1.42,1.66859e+06
0.565657,1.42,1.57831e+06
0.585859,1.42,1.49575e+06
0.606061,1.42,1.42325e+06
0.626263,1.42,1.36314e+06
0.646465,1.42,1.31773e+06
0.666667,1.42,1.2893e+06
0.686869,1.42,1.28012e+06
0.707071,1.42,1.29242e+06
0.727273,1.42,1.32843e+06
0.747475,1.42,1.30891e+06
0.767677,1.42,1.30984e+06
0.787879,1.42,1.33193e+06
0.808081,1.42,1.37243e+06
0.828283,1.42,1.42879e+06
0.848485,1.42,1.47243e+06
0.868687,1.42,1.5024e+06
0.888889,1.42,1.53245e+06
0.909091,1.42,1.56335e+06
0.929293,1.42,1.59574e+06
0.949495,1.42,1.63011e+06
0.969697,1.42,1.66682e+06
0.989899,1.42,1.70607e+06
1.0101,1.42,1.74792e+06
1.0303,1.42,1.7923e+06
1.05051,1.42,1.77388e+06
1.07071,1.42,1.74848e+06
1.09091,1.42,1.71938e+06
1.11111,1.42,1.6878e+06
1.13131,1.42,1.65505e+06
1.15152,1.42,1.62259e+06
1.17172,1.42,1.59198e+06
1.19192,1.42,1.56494e+06
1.21212,1.42,1.5433e+06
1.23232,1.42,1.50325e+06
1.25253,1.42,1.43e+06
1.27273,1.42,1.40122e+06
1.29293,1.42,1.38435e+06
1.31313,1.42,1.37927e+06
1.33333,1.42,1.38453e+06
1.35354,1.42,1.39878e+06
1.37374,1.42,1.4207e+06
1.39394,1.42,1.44905e+06
1.41414,1.42,1.48262e+06
1.43434,1.42,1.5203e+06
1.45455,1.42,1.561e+06
1.47475,1.42,1.60371e+06
1.49495,1.42,1.64747e+06
1.51515,1.42,1.69139e+06
1.53535,1.42,1.73463e+06
1.55556,1.42,1.7764e+06
1.57576,1.42,1.80906e+06
1.59596,1.42,1.82341e+06
1.61616,1.42,1.83117e+06
1.63636,1.42,1.83251e+06
1.65657,1.42,1.81133e+06
1.67677,1.42,1.7713e+06
1.69697,1.42,1.72502e+06
1.71717,1.42,1.67256e+06
1.73737,1.42,1.61429e+06
1.75758,1.42,1.55087e+06
1.77778,1.42,1.48324e+06
1.79798,1.42,1.41265e+06
1.81818,1.42,1.34062e+06
1.83838,1.42,1.26897e+06
1.85859,1.42,1.19983e+06
1.87879,1.42,1.13558e+06
1.89899,1.42,1.07892e+06
1.91919,1.42,1.03283e+06
1.93939,1.42,974348
1.9596,1.42,907896
1.9798,1.42,876103
2,1.42,877977
0,1.44,946665
0.020202,1.44,1.01948e+06
0.040404,1.44,1.14944e+06
0.0606061,1.44,1.18689e+06
0.0808081,1.44,1.22403e+06
0.10101,1.44,1.27476e+06
0.121212,1.44,1.33604e+06
0.141414,1.44,1.40509e+06
0.161616,1.44,1.47939e+06
0.181818,1.44,1.55668e+06
0.20202,1.44,1.63494e+06
0.222222,1.44,1.71244e+06
0.242424,1.44,1.7877e+06
0.262626,1.44,1.85948e+06
0.282828,1.44,1.92682e+06
0.30303,1.44,1.98902e+06
0.323232,1.44,2.04562e+06
0.343434,1.44,2.09643e+06
0.363636,1.44,2.14154e+06
0.383838,1.44,2.18024e+06
0.40404,1.44,2.21198e+06
0.424242,1.44,2.15892e+06
0.444444,1.44,2.10562e+06
0.464646,1.44,2.05222e+06
0.484848,1.44,1.95581e+06
0.505051,1.44,1.85345e+06
0.525253,1.44,1.75491e+06
0.545455,1.44,1.66245e+06
0.565657,1.44,1.57826e+06
0.585859,1.44,1.50454e+06
0.606061,1.44,1.44345e+06
0.626263,1.44,1.39714e+06
0.646465,1.44,1.36774e+06
0.666667,1.44,1.35733e+06
0.686869,1.44,1.36801e+06
0.707071,1.44,1.40182e+06
0.727273,1.44,1.44282e+06
0.747475,1.44,1.43915e+06
0.767677,1.44,1.45655e+06
0.787879,1.44,1.49229e+06
0.808081,1.44,1.54385e+06
0.828283,1.44,1.60896e+06
0.848485,1.44,1.68511e+06
0.868687,1.44,1.71953e+06
0.888889,1.44,1.7526e+06
0.909091,1.44,1.78526e+06
0.929293,1.44,1.81829e+06
0.949495,1.44,1.85234e+06
0.969697,1.44,1.88791e+06
0.989899,1.44,1.92536e+06
1.0101,1.44,1.9649e+06
1.0303,1.44,1.98062e+06
1.05051,1.44,1.95226e+06
1.07071,1.44,1.92089e+06
1.09091,1.44,1.88737e+06
1.11111,1.44,1.8527e+06
