Distance[um],dz[um],Mag_Ex
0,1.4,993963
0.020202,1.4,1.10079e+06
0.040404,1.4,1.12413e+06
0.0606061,1.4,1.15075e+06
0.0808081,1.4,982066
0.10101,1.4,958381
0.121212,1.4,935905
0.141414,1.4,915043
0.161616,1.4,896144
0.181818,1.4,879500
0.20202,1.4,865346
0.222222,1.4,853864
0.242424,1.4,845177
0.262626,1.4,839353
0.282828,1.4,836402
0.30303,1.4,836281
0.323232,1.4,838888
0.343434,1.4,844067
0.363636,1.4,1.31406e+06
0.383838,1.4,1.35403e+06
0.40404,1.4,1.39737e+06
0.424242,1.4,1.69012e+06
0.444444,1.4,1.70813e+06
0.464646,1.4,1.73164e+06
0.484848,1.4,1.76052e+06
0.505051,1.4,1.79463e+06
0.525253,1.4,1.8338e+06
0.545455,1.4,1.87782e+06
0.565657,1.4,1.86001e+06
0.585859,1.4,1.88035e+06
0.606061,1.4,1.90643e+06
0.626263,1.4,1.93801e+06
0.646465,1.4,1.97483e+06
0.666667,1.4,2.01665e+06
0.686869,1.4,2.06317e+06
0.707071,1.4,2.11411e+06
0.727273,1.4,2.16916e+06
0.747475,1.4,2.75302e+06
0.767677,1.4,2.81495e+06
0.787879,1.4,2.87992e+06
0.808081,1.4,2.94783e+06
0.828283,1.4,2.92599e+06
0.848485,1.4,2.94089e+06
0.868687,1.4,2.95691e+06
0.888889,1.4,2.97403e+06
0.909091,1.4,2.99223e+06
0.929293,1.4,3.01151e+06
0.949495,1.4,3.03184e+06
0.969697,1.4,3.0532e+06
0.989899,1.4,3.07557e+06
1.0101,1.4,3.09893e+06
1.0303,1.4,3.12326e+06
1.05051,1.4,2.74005e+06
1.07071,1.4,2.73125e+06
1.09091,1.4,2.72267e+06
1.11111,1.4,2.71432e+06
1.13131,1.4,2.70623e+06
1.15152,1.4,2.69843e+06
1.17172,1.4,2.69093e+06
1.19192,1.4,2.68376e+06
1.21212,1.4,2.67695e+06
1.23232,1.4,2.02981e+06
1.25253,1.4,2.01147e+06
1.27273,1.4,2.11839e+06
1.29293,1.4,2.04674e+06
1.31313,1.4,1.97747e+06
1.33333,1.4,1.91086e+06
1.35354,1.4,1.84716e+06
1.37374,1.4,1.78667e+06
1.39394,1.4,1.72968e+06
1.41414,1.4,1.6765e+06
1.43434,1.4,1.62744e+06
1.45455,1.4,1.58283e+06
1.47475,1.4,1.54301e+06
1.49495,1.4,1.50832e+06
1.51515,1.4,1.47912e+06
1.53535,1.4,1.45579e+06
1.55556,1.4,1.43869e+06
1.57576,1.4,1.10911e+06
1.59596,1.4,1.05192e+06
1.61616,1.4,1.0051e+06
1.63636,1.4,969463
1.65657,1.4,945667
1.67677,1.4,1.10275e+06
1.69697,1.4,1.13658e+06
1.71717,1.4,1.17431e+06
1.73737,1.4,1.2159e+06
1.75758,1.4,1.26123e+06
1.77778,1.4,1.3101e+06
1.79798,1.4,1.36221e+06
1.81818,1.4,1.41721e+06
1.83838,1.4,1.47462e+06
1.85859,1.4,1.53393e+06
1.87879,1.4,1.5945e+06
1.89899,1.4,1.65564e+06
1.91919,1.4,1.71431e+06
1.93939,1.4,1.69733e+06
1.9596,1.4,1.70416e+06
1.9798,1.4,1.72681e+06
2,1.4,1.75833e+06
0,1.42,985779
0.020202,1.42,1.07437e+06
0.040404,1.42,1.09846e+06
0.0606061,1.42,928795
0.0808081,1.42,902831
0.10101,1.42,878774
0.121212,1.42,856989
0.141414,1.42,837787
0.161616,1.42,821423
0.181818,1.42,808095
0.20202,1.42,797945
0.222222,1.42,791058
0.242424,1.42,787464
0.262626,1.42,787137
0.282828,1.42,789994
0.30303,1.42,795896
0.323232,1.42,804647
0.343434,1.42,815997
0.363636,1.42,1.33209e+06
0.383838,1.42,1.38019e+06
0.40404,1.42,1.43199e+06
0.424242,1.42,1.7312e+06
0.444444,1.42,1.75887e+06
0.464646,1.42,1.79203e+06
0.484848,1.42,1.83049e+06
0.505051,1.42,1.87407e+06
0.525253,1.42,1.82852e+06
0.545455,1.42,1.84303e+06
0.565657,1.42,1.86323e+06
0.585859,1.42,1.8889e+06
0.606061,1.42,1.91983e+06
0.626263,1.42,1.95579e+06
0.646465,1.42,1.99652e+06
0.666667,1.42,2.04175e+06
0.686869,1.42,2.09122e+06
0.707071,1.42,2.14461e+06
0.727273,1.42,2.20164e+06
0.747475,1.42,2.77038e+06
0.767677,1.42,2.83177e+06
0.787879,1.42,2.8959e+06
0.808081,1.42,2.96267e+06
0.828283,1.42,3.03197e+06
0.848485,1.42,3.02828e+06
0.868687,1.42,3.04497e+06
0.888889,1.42,3.06271e+06
0.909091,1.42,3.08149e+06
0.929293,1.42,3.10129e+06
0.949495,1.42,3.12209e+06
0.969697,1.42,3.14386e+06
0.989899,1.42,3.1666e+06
1.0101,1.42,3.19027e+06
1.0303,1.42,3.21485e+06
1.05051,1.42,2.75734e+06
1.07071,1.42,2.75002e+06
1.09091,1.42,2.74292e+06
1.11111,1.42,2.73606e+06
1.13131,1.42,2.72947e+06
1.15152,1.42,2.72317e+06
1.17172,1.42,2.71716e+06
1.19192,1.42,2.71148e+06
1.21212,1.42,2.70614e+06
1.23232,1.42,2.11661e+06
1.25253,1.42,2.10091e+06
1.27273,1.42,2.20159e+06
1.29293,1.42,2.12903e+06
1.31313,1.42,2.05844e+06
1.33333,1.42,1.99008e+06
1.35354,1.42,1.92423e+06
1.37374,1.42,1.86117e+06
1.39394,1.42,1.80119e+06
1.41414,1.42,1.74459e+06
1.43434,1.42,1.69169e+06
1.45455,1.42,1.6428e+06
1.47475,1.42,1.59828e+06
1.49495,1.42,1.55846e+06
1.51515,1.42,1.52369e+06
1.53535,1.42,1.49434e+06
1.55556,1.42,1.4708e+06
1.57576,1.42,1.14513e+06
1.59596,1.42,1.07621e+06
1.61616,1.42,1.01837e+06
1.63636,1.42,972543
1.65657,1.42,1.01868e+06
1.67677,1.42,1.04322e+06
1.69697,1.42,1.07295e+06
1.71717,1.42,1.10784e+06
1.73737,1.42,1.14777e+06
1.75758,1.42,1.19255e+06
1.77778,1.42,1.24188e+06
1.79798,1.42,1.29539e+06
1.81818,1.42,1.35264e+06
1.83838,1.42,1.41309e+06
1.85859,1.42,1.47611e+06
1.87879,1.42,1.54101e+06
1.89899,1.42,1.607e+06
1.91919,1.42,1.67321e+06
1.93939,1.42,1.75747e+06
1.9596,1.42,1.74707e+06
1.9798,1.42,1.75968e+06
2,1.42,1.78735e+06
0,1.44,973495
0.020202,1.44,1.04244e+06
0.040404,1.44,1.06811e+06
0.0606061,1.44,845701
0.0808081,1.44,819742
0.10101,1.44,796874
0.121212,1.44,777369
0.141414,1.44,761443
0.161616,1.44,749256
0.181818,1.44,740913
0.20202,1.44,736461
0.222222,1.44,735892
0.242424,1.44,739141
0.262626,1.44,746088
0.282828,1.44,756555
0.30303,1.44,770310
0.323232,1.44,787062
0.343434,1.44,806467
0.363636,1.44,828122
0.383838,1.44,1.41538e+06
0.40404,1.44,1.75368e+06
0.424242,1.44,1.7858e+06
0.444444,1.44,1.8235e+06
0.464646,1.44,1.86659e+06
0.484848,1.44,1.8016e+06
0.505051,1.44,1.81052e+06
0.525253,1.44,1.82506e+06
0.545455,1.44,1.84503e+06
0.565657,1.44,1.87024e+06
0.585859,1.44,1.90049e+06
0.606061,1.44,1.93555e+06
0.626263,1.44,1.97519e+06
0.646465,1.44,2.01916e+06
0.666667,1.44,2.06719e+06
0.686869,1.44,2.119e+06
0.707071,1.44,2.1743e+06
0.727273,1.44,2.72382e+06
0.747475,1.44,2.78152e+06
0.767677,1.44,2.84179e+06
0.787879,1.44,2.90455e+06
0.808081,1.44,2.96968e+06
0.828283,1.44,3.03708e+06
0.848485,1.44,3.09992e+06
0.868687,1.44,3.11713e+06
0.888889,1.44,3.13535e+06
0.909091,1.44,3.15456e+06
0.929293,1.44,3.17475e+06
0.949495,1.44,3.1959e+06
0.969697,1.44,3.21798e+06
0.989899,1.44,3.24097e+06
1.0101,1.44,3.26484e+06
1.0303,1.44,2.77408e+06
1.05051,1.44,2.76801e+06
1.07071,1.44,2.76216e+06
1.09091,1.44,2.75656e+06
1.11111,1.44,2.75121e+06
1.13131,1.44,2.74615e+06
1.15152,1.44,2.74137e+06
1.17172,1.44,2.7369e+06
1.19192,1.44,2.73276e+06
1.21212,1.44,2.72896e+06
1.23232,1.44,2.72552e+06
1.25253,1.44,2.3608e+06
1.27273,1.44,2.28655e+06
1.29293,1.44,2.21359e+06
1.31313,1.44,2.14217e+06
1.33333,1.44,2.07255e+06
1.35354,1.44,2.005e+06
1.37374,1.44,1.93981e+06
1.39394,1.44,1.87725e+06
1.41414,1.44,1.81764e+06
