Distance[um],dz[um],Mag_Ey
0,1.4,0
0.020202,1.4,80225.9
0.040404,1.4,158152
0.0606061,1.4,233779
0.0808081,1.4,499341
0.10101,1.4,515890
0.121212,1.4,549280
0.141414,1.4,595110
0.161616,1.4,649436
0.181818,1.4,708776
0.20202,1.4,770106
0.222222,1.4,830863
0.242424,1.4,888941
0.262626,1.4,942697
0.282828,1.4,990944
0.30303,1.4,1.03296e+06
0.323232,1.4,1.06847e+06
0.343434,1.4,1.09767e+06
0.363636,1.4,1.32285e+06
0.383838,1.4,1.31081e+06
0.40404,1.4,1.29055e+06
0.424242,1.4,1.32829e+06
0.444444,1.4,1.31796e+06
0.464646,1.4,1.30333e+06
0.484848,1.4,1.2824e+06
0.505051,1.4,1.25368e+06
0.525253,1.4,1.21613e+06
0.545455,1.4,1.16919e+06
0.565657,1.4,1.1604e+06
0.585859,1.4,1.09481e+06
0.606061,1.4,1.02907e+06
0.626263,1.4,962654
0.646465,1.4,895124
0.666667,1.4,826145
0.686869,1.4,755475
0.707071,1.4,682965
0.727273,1.4,608562
0.747475,1.4,446379
0.767677,1.4,374687
0.787879,1.4,320493
0.808081,1.4,281597
0.828283,1.4,482942
0.848485,1.4,430973
0.868687,1.4,376521
0.888889,1.4,325387
0.909091,1.4,282083
0.929293,1.4,249835
0.949495,1.4,230580
0.969697,1.4,224968
0.989899,1.4,232362
1.0101,1.4,250834
1.0303,1.4,277173
1.05051,1.4,328750
1.07071,1.4,290689
1.09091,1.4,248997
1.11111,1.4,212974
1.13131,1.4,189995
1.15152,1.4,185512
1.17172,1.4,203054
1.19192,1.4,244225
1.21212,1.4,308709
1.23232,1.4,218995
1.25253,1.4,216726
1.27273,1.4,496920
1.29293,1.4,485142
1.31313,1.4,506731
1.33333,1.4,553034
1.35354,1.4,616451
1.37374,1.4,690439
1.39394,1.4,769506
1.41414,1.4,849217
1.43434,1.4,926189
1.45455,1.4,998095
1.47475,1.4,1.06366e+06
1.49495,1.4,1.12267e+06
1.51515,1.4,1.17595e+06
1.53535,1.4,1.22541e+06
1.55556,1.4,1.27397e+06
1.57576,1.4,1.30903e+06
1.59596,1.4,1.34748e+06
1.61616,1.4,1.37819e+06
1.63636,1.4,1.40025e+06
1.65657,1.4,1.41302e+06
1.67677,1.4,1.40061e+06
1.69697,1.4,1.35327e+06
1.71717,1.4,1.29991e+06
1.73737,1.4,1.23845e+06
1.75758,1.4,1.16766e+06
1.77778,1.4,1.08709e+06
1.79798,1.4,997139
1.81818,1.4,899042
1.83838,1.4,794844
1.85859,1.4,687421
1.87879,1.4,580475
1.89899,1.4,478534
1.91919,1.4,430518
1.93939,1.4,327077
1.9596,1.4,220843
1.9798,1.4,111818
2,1.4,0
0,1.42,0
0.020202,1.42,81001.9
0.040404,1.42,159713
0.0606061,1.42,450653
0.0808081,1.42,465236
0.10101,1.42,497995
0.121212,1.42,544389
0.141414,1.42,600338
0.161616,1.42,662219
0.181818,1.42,726870
0.20202,1.42,791588
0.222222,1.42,854129
0.242424,1.42,912709
0.262626,1.42,966004
0.282828,1.42,1.01315e+06
0.30303,1.42,1.05374e+06
0.323232,1.42,1.08782e+06
0.343434,1.42,1.11592e+06
0.363636,1.42,1.39088e+06
0.383838,1.42,1.37663e+06
0.40404,1.42,1.35457e+06
0.424242,1.42,1.41618e+06
0.444444,1.42,1.40464e+06
0.464646,1.42,1.38844e+06
0.484848,1.42,1.36568e+06
0.505051,1.42,1.33492e+06
0.525253,1.42,1.21594e+06
0.545455,1.42,1.15494e+06
0.565657,1.42,1.09443e+06
0.585859,1.42,1.03378e+06
0.606061,1.42,972418
0.626263,1.42,909874
