Distance[um],dz[um],Mag_Ez
0,1.4,451973
0.020202,1.4,552228
0.040404,1.4,547333
0.0606061,1.4,545625
0.0808081,1.4,623070
0.10101,1.4,646142
0.121212,1.4,674500
0.141414,1.4,706216
0.161616,1.4,739642
0.181818,1.4,773416
0.20202,1.4,806459
0.222222,1.4,837972
0.242424,1.4,867440
0.262626,1.4,894631
0.282828,1.4,919595
0.30303,1.4,942666
0.323232,1.4,964459
0.343434,1.4,985873
0.363636,1.4,990164
0.383838,1.4,993618
0.40404,1.4,994232
0.424242,1.4,841532
0.444444,1.4,821430
0.464646,1.4,801446
0.484848,1.4,782491
0.505051,1.4,765277
0.525253,1.4,750314
0.545455,1.4,737909
0.565657,1.4,770052
0.585859,1.4,749063
0.606061,1.4,725070
0.626263,1.4,697911
0.646465,1.4,667437
0.666667,1.4,633513
0.686869,1.4,596016
0.707071,1.4,554833
0.727273,1.4,509869
0.747475,1.4,397726
0.767677,1.4,405185
0.787879,1.4,419273
0.808081,1.4,439256
0.828283,1.4,365619
0.848485,1.4,386032
0.868687,1.4,410284
0.888889,1.4,437417
0.909091,1.4,466667
0.929293,1.4,497469
0.949495,1.4,529449
0.969697,1.4,562429
0.989899,1.4,596426
1.0101,1.4,631653
1.0303,1.4,668517
1.05051,1.4,361795
1.07071,1.4,361998
1.09091,1.4,357539
1.11111,1.4,351816
1.13131,1.4,347869
1.15152,1.4,348376
1.17172,1.4,355655
1.19192,1.4,371661
1.21212,1.4,397989
1.23232,1.4,492519
1.25253,1.4,512658
1.27273,1.4,433851
1.29293,1.4,472974
1.31313,1.4,520153
1.33333,1.4,573485
1.35354,1.4,631287
1.37374,1.4,692105
1.39394,1.4,754707
1.41414,1.4,818085
1.43434,1.4,881457
1.45455,1.4,944264
1.47475,1.4,1.00617e+06
1.49495,1.4,1.06708e+06
1.51515,1.4,1.12708e+06
1.53535,1.4,1.18654e+06
1.55556,1.4,1.24601e+06
1.57576,1.4,1.24769e+06
1.59596,1.4,1.26252e+06
1.61616,1.4,1.27285e+06
1.63636,1.4,1.27864e+06
1.65657,1.4,1.27998e+06
1.67677,1.4,1.30796e+06
1.69697,1.4,1.28391e+06
1.71717,1.4,1.25412e+06
1.73737,1.4,1.21852e+06
1.75758,1.4,1.17736e+06
1.77778,1.4,1.1312e+06
1.79798,1.4,1.0809e+06
1.81818,1.4,1.02764e+06
1.83838,1.4,972886
1.85859,1.4,918430
1.87879,1.4,866361
1.89899,1.4,819078
1.91919,1.4,588576
1.93939,1.4,505339
1.9596,1.4,426719
1.9798,1.4,361676
2,1.4,320522
0,1.42,480313
0.020202,1.42,556203
0.040404,1.42,549877
0.0606061,1.42,597089
0.0808081,1.42,616697
0.10101,1.42,643547
0.121212,1.42,675469
0.141414,1.42,710574
0.161616,1.42,747257
0.181818,1.42,784194
0.20202,1.42,820347
0.222222,1.42,854956
0.242424,1.42,887548
0.262626,1.42,917930
0.282828,1.42,946194
0.30303,1.42,972711
0.323232,1.42,998138
0.343434,1.42,1.02341e+06
0.363636,1.42,1.03742e+06
0.383838,1.42,1.04464e+06
0.40404,1.42,1.04882e+06
0.424242,1.42,884185
0.444444,1.42,867192
0.464646,1.42,851512
0.484848,1.42,837977
0.505051,1.42,827217
0.525253,1.42,884020
0.545455,1.42,868611
0.565657,1.42,850144
0.585859,1.42,828455
0.606061,1.42,803392
0.626263,1.42,774819
0.646465,1.42,742610
0.666667,1.42,706651
0.686869,1.42,666841
0.707071,1.42,623095
0.727273,1.42,575335
0.747475,1.42,405638
0.767677,1.42,411916
0.787879,1.42,424914
0.808081,1.42,444083
0.828283,1.42,468409
0.848485,1.42,416648
0.868687,1.42,441030
0.888889,1.42,468447
0.909091,1.42,498160
0.929293,1.42,529628
0.949495,1.42,562503
0.969697,1.42,596632
0.989899,1.42,632058
1.0101,1.42,669019
1.0303,1.42,707946
1.05051,1.42,415253
1.07071,1.42,413075
1.09091,1.42,408243
1.11111,1.42,403625
1.13131,1.42,401730
1.15152,1.42,404702
1.17172,1.42,414329
1.19192,1.42,432034
1.21212,1.42,458881
1.23232,1.42,568165
1.25253,1.42,570413
1.27273,1.42,459715
1.29293,1.42,488585
1.31313,1.42,527268
1.33333,1.42,573716
1.35354,1.42,626102
1.37374,1.42,682826
1.39394,1.42,742512
1.41414,1.42,804009
1.43434,1.42,866387
1.45455,1.42,928946
1.47475,1.42,991207
1.49495,1.42,1.05291e+06
1.51515,1.42,1.11404e+06
1.53535,1.42,1.17478e+06
1.55556,1.42,1.23555e+06
1.57576,1.42,1.2331e+06
1.59596,1.42,1.2479e+06
1.61616,1.42,1.25852e+06
1.63636,1.42,1.26484e+06
1.65657,1.42,1.31173e+06
1.67677,1.42,1.29602e+06
1.69697,1.42,1.27459e+06
1.71717,1.42,1.24701e+06
1.73737,1.42,1.21317e+06
1.75758,1.42,1.17327e+06
1.77778,1.42,1.1278e+06
1.79798,1.42,1.07759e+06
1.81818,1.42,1.02373e+06
1.83838,1.42,967652
1.85859,1.42,911091
1.87879,1.42,856078
1.89899,1.42,804958
1.91919,1.42,760380
1.93939,1.42,540883
1.9596,1.42,473042
1.9798,1.42,416840
2,1.42,382736
0,1.44,507256
0.020202,1.44,558085
0.040404,1.44,550697
0.0606061,1.44,587969
0.0808081,1.44,611648
0.10101,1.44,642343
0.121212,1.44,677924
0.141414,1.44,716542
0.161616,1.44,756633
0.181818,1.44,796913
0.20202,1.44,836383
0.222222,1.44,874325
0.242424,1.44,910304
0.262626,1.44,944169
0.282828,1.44,976050
0.30303,1.44,1.00636e+06
0.323232,1.44,1.0358e+06
0.343434,1.44,1.06534e+06
0.363636,1.44,1.09624e+06
0.383838,1.44,1.10247e+06
0.40404,1.44,948053
0.424242,1.44,934017
0.444444,1.44,921634
0.464646,1.44,911858
0.484848,1.44,987339
0.505051,1.44,977668
0.525253,1.44,964893
0.545455,1.44,948847
0.565657,1.44,929379
0.585859,1.44,906348
0.606061,1.44,879625
0.626263,1.44,849096
0.646465,1.44,814658
0.666667,1.44,776222
0.686869,1.44,733708
0.707071,1.44,687054
0.727273,1.44,410550
0.747475,1.44,408925
0.767677,1.44,414029
0.787879,1.44,425960
0.808081,1.44,444350
0.828283,1.44,468371
0.848485,1.44,443179
0.868687,1.44,467687
0.888889,1.44,495375
0.909091,1.44,525529
0.929293,1.44,557634
0.949495,1.44,591366
0.969697,1.44,626598
0.989899,1.44,663399
1.0101,1.44,702030
1.0303,1.44,465338
1.05051,1.44,465585
1.07071,1.44,462053
1.09091,1.44,457441
1.11111,1.44,454085
1.13131,1.44,453961
1.15152,1.44,458684
1.17172,1.44,469508
1.19192,1.44,487325
1.21212,1.44,512668
1.23232,1.44,545707
1.25253,1.44,496162
1.27273,1.44,498839
1.29293,1.44,515611
1.31313,1.44,544058
1.33333,1.44,581987
1.35354,1.44,627427
1.37374,1.44,678633
1.39394,1.44,734084
1.41414,1.44,792484
1.43434,1.44,852761
1.45455,1.44,914067
1.47475,1.44,975779
1.49495,1.44,1.0375e+06
1.51515,1.44,1.09905e+06
1.53535,1.44,1.16049e+06
1.55556,1.44,1.22209e+06
1.57576,1.44,1.21683e+06
1.59596,1.44,1.23111e+06
1.61616,1.44,1.2416e+06
1.63636,1.44,1.30379e+06
1.65657,1.44,1.29598e+06
1.67677,1.44,1.28295e+06
1.69697,1.44,1.26393e+06
1.71717,1.44,1.23845e+06
