Distance[um],dz[um],Mag_E[V_per_meter]
0,1.4,358818
0.020202,1.4,329332
0.040404,1.4,302029
0.0606061,1.4,279680
0.0808081,1.4,288709
0.10101,1.4,322729
0.121212,1.4,352398
0.141414,1.4,379436
0.161616,1.4,405496
0.181818,1.4,432171
0.20202,1.4,460989
0.222222,1.4,493415
0.242424,1.4,530849
0.262626,1.4,574630
0.282828,1.4,626032
0.30303,1.4,686267
0.323232,1.4,756483
0.343434,1.4,837764
0.363636,1.4,884532
0.383838,1.4,950559
0.40404,1.4,1.04272e+06
0.424242,1.4,1.10538e+06
0.444444,1.4,1.14547e+06
0.464646,1.4,1.19059e+06
0.484848,1.4,1.23925e+06
0.505051,1.4,1.29021e+06
0.525253,1.4,1.34251e+06
0.545455,1.4,1.39549e+06
0.565657,1.4,1.48348e+06
0.585859,1.4,1.5814e+06
0.606061,1.4,1.68026e+06
0.626263,1.4,1.77982e+06
0.646465,1.4,1.87994e+06
0.666667,1.4,1.98057e+06
0.686869,1.4,2.08173e+06
0.707071,1.4,2.18354e+06
0.727273,1.4,2.28619e+06
0.747475,1.4,2.38459e+06
0.767677,1.4,2.47073e+06
0.787879,1.4,2.54501e+06
0.808081,1.4,2.6076e+06
0.828283,1.4,2.65579e+06
0.848485,1.4,2.69347e+06
0.868687,1.4,2.73361e+06
0.888889,1.4,2.77462e+06
0.909091,1.4,2.81538e+06
0.929293,1.4,2.85515e+06
0.949495,1.4,2.8937e+06
0.969697,1.4,2.93118e+06
0.989899,1.4,2.96821e+06
1.0101,1.4,3.00584e+06
1.0303,1.4,3.04557e+06
1.05051,1.4,2.99947e+06
1.07071,1.4,2.89014e+06
1.09091,1.4,2.79228e+06
1.11111,1.4,2.70509e+06
1.13131,1.4,2.62783e+06
1.15152,1.4,2.55989e+06
1.17172,1.4,2.50076e+06
1.19192,1.4,2.45002e+06
1.21212,1.4,2.40739e+06
1.23232,1.4,2.30795e+06
1.25253,1.4,2.17589e+06
1.27273,1.4,2.0322e+06
1.29293,1.4,1.9195e+06
1.31313,1.4,1.811e+06
1.33333,1.4,1.70675e+06
1.35354,1.4,1.60687e+06
1.37374,1.4,1.51156e+06
1.39394,1.4,1.42106e+06
1.41414,1.4,1.33569e+06
1.43434,1.4,1.25585e+06
1.45455,1.4,1.182e+06
1.47475,1.4,1.11464e+06
1.49495,1.4,1.05438e+06
1.51515,1.4,1.00188e+06
1.53535,1.4,957849
1.55556,1.4,923089
1.57576,1.4,885921
1.59596,1.4,844140
1.61616,1.4,811032
1.63636,1.4,785664
1.65657,1.4,767148
1.67677,1.4,736336
1.69697,1.4,702145
1.71717,1.4,673942
1.73737,1.4,651076
1.75758,1.4,632886
1.77778,1.4,618702
1.79798,1.4,607847
1.81818,1.4,599630
1.83838,1.4,593357
1.85859,1.4,588319
1.87879,1.4,583801
1.89899,1.4,579078
1.91919,1.4,562414
