Distance[um],dz[um],Mag_Ex
0,1.4,331553
0.020202,1.4,354177
0.040404,1.4,371467
0.0606061,1.4,392344
0.0808081,1.4,389082
0.10101,1.4,392118
0.121212,1.4,396081
0.141414,1.4,400904
0.161616,1.4,406529
0.181818,1.4,412907
0.20202,1.4,419995
0.222222,1.4,427760
0.242424,1.4,436176
0.262626,1.4,445228
0.282828,1.4,454904
0.30303,1.4,465206
0.323232,1.4,476139
0.343434,1.4,487720
0.363636,1.4,334480
0.383838,1.4,297130
0.40404,1.4,264229
0.424242,1.4,133739
0.444444,1.4,150075
0.464646,1.4,179946
0.484848,1.4,221418
0.505051,1.4,272705
0.525253,1.4,332168
0.545455,1.4,398318
0.565657,1.4,353976
0.585859,1.4,397021
0.606061,1.4,440406
0.626263,1.4,483964
0.646465,1.4,527580
0.666667,1.4,571189
0.686869,1.4,614779
0.707071,1.4,658388
0.727273,1.4,702106
0.747475,1.4,864043
0.767677,1.4,819729
0.787879,1.4,778601
0.808081,1.4,741063
0.828283,1.4,664540
0.848485,1.4,669388
0.868687,1.4,674724
0.888889,1.4,680416
0.909091,1.4,686349
0.929293,1.4,692429
0.949495,1.4,698583
0.969697,1.4,704755
0.989899,1.4,710910
1.0101,1.4,717032
1.0303,1.4,723126
1.05051,1.4,427098
1.07071,1.4,377625
1.09091,1.4,331023
1.11111,1.4,295615
1.13131,1.4,276757
1.15152,1.4,276837
1.17172,1.4,295275
1.19192,1.4,328523
1.21212,1.4,370066
1.23232,1.4,242710
1.25253,1.4,249190
1.27273,1.4,288239
1.29293,1.4,298091
1.31313,1.4,308274
1.33333,1.4,318774
1.35354,1.4,329578
1.37374,1.4,340673
1.39394,1.4,352046
1.41414,1.4,363683
1.43434,1.4,375572
1.45455,1.4,387699
1.47475,1.4,400050
1.49495,1.4,412610
1.51515,1.4,425368
1.53535,1.4,438307
1.55556,1.4,451415
1.57576,1.4,365637
1.59596,1.4,327349
1.61616,1.4,297691
1.63636,1.4,277338
1.65657,1.4,266761
1.67677,1.4,426287
1.69697,1.4,419650
1.71717,1.4,413045
1.73737,1.4,406473
1.75758,1.4,399932
1.77778,1.4,393422
1.79798,1.4,386943
1.81818,1.4,380493
1.83838,1.4,374073
1.85859,1.4,367682
1.87879,1.4,361320
1.89899,1.4,354986
1.91919,1.4,543114
1.93939,1.4,505344
1.9596,1.4,476790
1.9798,1.4,459129
2,1.4,453997
0,1.42,306414
0.020202,1.42,314093
0.040404,1.42,325632
0.0606061,1.42,315306
0.0808081,1.42,320117
0.10101,1.42,325872
0.121212,1.42,332490
0.141414,1.42,339895
0.161616,1.42,348023
0.181818,1.42,356817
0.20202,1.42,366226
0.222222,1.42,376211
0.242424,1.42,386738
0.262626,1.42,397783
0.282828,1.42,409328
0.30303,1.42,421367
0.323232,1.42,433898
0.343434,1.42,446930
0.363636,1.42,284635
0.383838,1.42,247660
0.40404,1.42,215568
0.424242,1.42,200620
0.444444,1.42,234812
0.464646,1.42,282454
0.484848,1.42,341576
0.505051,1.42,410352
0.525253,1.42,338070
0.545455,1.42,377974
0.565657,1.42,418775
0.585859,1.42,460221
0.606061,1.42,502111
0.626263,1.42,544294
0.646465,1.42,586673
0.666667,1.42,629200
0.686869,1.42,671878
0.707071,1.42,714765
0.727273,1.42,757967
0.747475,1.42,909668
0.767677,1.42,861316
0.787879,1.42,815611
0.808081,1.42,772923
0.828283,1.42,733658
0.848485,1.42,658302
0.868687,1.42,667864
0.888889,1.42,677848
0.909091,1.42,688124
0.929293,1.42,698580
0.949495,1.42,709126
0.969697,1.42,719688
0.989899,1.42,730214
1.0101,1.42,740673
1.0303,1.42,751050
1.05051,1.42,367508
1.07071,1.42,311194
1.09091,1.42,261854
1.11111,1.42,227172
1.13131,1.42,211862
1.15152,1.42,217672
1.17172,1.42,243381
1.19192,1.42,284802
1.21212,1.42,334779
1.23232,1.42,186125
1.25253,1.42,193223
1.27273,1.42,288942
1.29293,1.42,298609
1.31313,1.42,308682
1.33333,1.42,319147
1.35354,1.42,329991
1.37374,1.42,341199
1.39394,1.42,352757
1.41414,1.42,364651
1.43434,1.42,376867
1.45455,1.42,389389
1.47475,1.42,402204
1.49495,1.42,415297
1.51515,1.42,428652
1.53535,1.42,442255
1.55556,1.42,456090
1.57576,1.42,388266
1.59596,1.42,342749
1.61616,1.42,304603
1.63636,1.42,274768
1.65657,1.42,443252
1.67677,1.42,439364
1.69697,1.42,435526
1.71717,1.42,431736
1.73737,1.42,427995
1.75758,1.42,424302
1.77778,1.42,420656
1.79798,1.42,417058
1.81818,1.42,413505
1.83838,1.42,410000
1.85859,1.42,406541
1.87879,1.42,403128
1.89899,1.42,399761
1.91919,1.42,396440
1.93939,1.42,592162
1.9596,1.42,552094
1.9798,1.42,524667
2,1.42,511762
0,1.44,292189
0.020202,1.44,283046
0.040404,1.44,286886
0.0606061,1.44,253623
0.0808081,1.44,260708
0.10101,1.44,268686
0.121212,1.44,277468
0.141414,1.44,286971
0.161616,1.44,297123
0.181818,1.44,307859
0.20202,1.44,319123
0.222222,1.44,330866
0.242424,1.44,343047
0.262626,1.44,355634
0.282828,1.44,368604
0.30303,1.44,381941
0.323232,1.44,395637
0.343434,1.44,409692
0.363636,1.44,424116
0.383838,1.44,203814
0.40404,1.44,265559
0.424242,1.44,305514
0.444444,1.44,360881
0.464646,1.44,429504
0.484848,1.44,331388
0.505051,1.44,366858
0.525253,1.44,403897
0.545455,1.44,442167
0.565657,1.44,481380
0.585859,1.44,521301
0.606061,1.44,561746
0.626263,1.44,602581
0.646465,1.44,643726
0.666667,1.44,685150
0.686869,1.44,726876
0.707071,1.44,768974
0.727273,1.44,1.01215e+06
0.747475,1.44,958798
0.767677,1.44,907330
0.787879,1.44,858038
0.808081,1.44,811255
0.828283,1.44,767351
0.848485,1.44,644774
0.868687,1.44,658327
0.888889,1.44,672375
0.909091,1.44,686770
0.929293,1.44,701383
0.949495,1.44,716106
0.969697,1.44,730850
0.989899,1.44,745545
1.0101,1.44,760141
1.0303,1.44,370162
1.05051,1.44,308724
1.07071,1.44,248284
1.09091,1.44,198853
1.11111,1.44,167473
1.13131,1.44,158219
1.15152,1.44,172197
1.17172,1.44,207547
1.19192,1.44,259440
1.21212,1.44,320081
1.23232,1.44,378704
1.25253,1.44,292098
1.27273,1.44,300677
1.29293,1.44,309762
1.31313,1.44,319338
1.33333,1.44,329390
1.35354,1.44,339903
1.37374,1.44,350863
1.39394,1.44,362254
1.41414,1.44,374061
1.43434,1.44,386269
1.45455,1.44,398861
1.47475,1.44,411823
1.49495,1.44,425138
1.51515,1.44,438791
1.53535,1.44,452766
1.55556,1.44,467046
1.57576,1.44,422776
1.59596,1.44,370462
1.61616,1.44,324039
1.63636,1.44,464530
1.65657,1.44,463685
1.67677,1.44,462897
1.69697,1.44,462165
1.71717,1.44,461488
1.73737,1.44,460867
1.75758,1.44,460301
1.77778,1.44,459790
1.79798,1.44,459333
1.81818,1.44,458931
1.83838,1.44,458584
1.85859,1.44,458291
1.87879,1.44,458053
1.89899,1.44,457869
1.91919,1.44,457740
1.93939,1.44,457666
1.9596,1.44,646197
1.9798,1.44,606695
2,1.44,583785
0,1.46,291838
0.020202,1.46,264330
0.040404,1.46,198691
0.0606061,1.46,206466
0.0808081,1.46,215192
0.10101,1.46,224765
0.121212,1.46,235089
0.141414,1.46,246074
0.161616,1.46,257639
0.181818,1.46,269714
0.20202,1.46,282232
0.222222,1.46,295139
0.242424,1.46,308386
0.262626,1.46,321935
0.282828,1.46,335753
0.30303,1.46,349817
0.323232,1.46,364112
0.343434,1.46,378631
0.363636,1.46,393376
0.383838,1.46,168164
0.40404,1.46,390500
0.424242,1.46,455430
0.444444,1.46,335158
0.464646,1.46,364838
0.484848,1.46,396873
0.505051,1.46,430838
0.525253,1.46,466360
0.545455,1.46,503118
0.565657,1.46,540842
0.585859,1.46,579314
0.606061,1.46,618367
0.626263,1.46,657884
0.646465,1.46,697802
0.666667,1.46,738107
0.686869,1.46,778839
0.707071,1.46,820086
0.727273,1.46,1.06463e+06
0.747475,1.46,1.0093e+06
0.767677,1.46,955476
0.787879,1.46,903423
0.808081,1.46,853437
0.828283,1.46,805854
0.848485,1.46,761046
0.868687,1.46,646243
0.888889,1.46,664082
0.909091,1.46,682329
0.929293,1.46,700837
0.949495,1.46,719481
0.969697,1.46,738154
0.989899,1.46,756770
1.0101,1.46,775261
1.0303,1.46,320020
1.05051,1.46,252990
1.07071,1.46,191564
1.09091,1.46,145111
1.11111,1.46,120033
1.13131,1.46,119765
1.15152,1.46,144773
1.17172,1.46,192556
1.19192,1.46,257645
1.21212,1.46,439467
1.23232,1.46,316210
1.25253,1.46,453709
1.27273,1.46,452233
1.29293,1.46,451581
1.31313,1.46,451756
1.33333,1.46,452759
1.35354,1.46,360973
1.37374,1.46,371265
1.39394,1.46,382078
1.41414,1.46,393396
1.43434,1.46,405201
1.45455,1.46,417479
1.47475,1.46,430212
1.49495,1.46,443383
1.51515,1.46,456975
1.53535,1.46,470972
1.55556,1.46,485356
1.57576,1.46,470596
1.59596,1.46,412016
1.61616,1.46,488067
1.63636,1.46,490276
1.65657,1.46,492539
1.67677,1.46,494857
1.69697,1.46,497229
1.71717,1.46,499654
1.73737,1.46,502132
1.75758,1.46,504664
1.77778,1.46,507249
1.79798,1.46,509887
1.81818,1.46,512579
1.83838,1.46,515324
1.85859,1.46,518122
1.87879,1.46,520975
1.89899,1.46,523882
1.91919,1.46,526843
1.93939,1.46,529859
1.9596,1.46,532931
1.9798,1.46,705895
2,1.46,670518
0,1.48,308560
0.020202,1.48,162522
0.040404,1.48,170164
0.0606061,1.48,178847
0.0808081,1.48,188449
0.10101,1.48,198858
0.121212,1.48,209970
0.141414,1.48,221688
0.161616,1.48,233925
0.181818,1.48,246601
0.20202,1.48,259643
0.222222,1.48,272989
0.242424,1.48,286583
0.262626,1.48,300378
0.282828,1.48,314336
0.30303,1.48,328425
0.323232,1.48,342622
0.343434,1.48,369930
0.363636,1.48,386403
0.383838,1.48,402824
0.40404,1.48,350615
0.424242,1.48,373086
0.444444,1.48,398810
0.464646,1.48,427277
0.484848,1.48,458031
0.505051,1.48,490662
0.525253,1.48,524815
0.545455,1.48,560188
0.565657,1.48,596525
0.585859,1.48,633627
0.606061,1.48,671343
0.626263,1.48,709574
0.646465,1.48,748274
0.666667,1.48,787446
0.686869,1.48,827147
0.707071,1.48,867483
0.727273,1.48,1.11627e+06
0.747475,1.48,1.05948e+06
0.767677,1.48,1.0039e+06
0.787879,1.48,949751
0.808081,1.48,897292
0.828283,1.48,846824
0.848485,1.48,798686
0.868687,1.48,753251
0.888889,1.48,653145
0.909091,1.48,674932
0.929293,1.48,697028
0.949495,1.48,719292
0.969697,1.48,741599
0.989899,1.48,763845
1.0101,1.48,339538
1.0303,1.48,272105
1.05051,1.48,203114
1.07071,1.48,144263
1.09091,1.48,104281
1.11111,1.48,88929.5
1.13131,1.48,101002
1.15152,1.48,140326
1.17172,1.48,203758
1.19192,1.48,431554
1.21212,1.48,512685
1.23232,1.48,252049
1.25253,1.48,500378
1.27273,1.48,497151
1.29293,1.48,494689
1.31313,1.48,492999
1.33333,1.48,492082
1.35354,1.48,491940
1.37374,1.48,492572
1.39394,1.48,493977
1.41414,1.48,496150
1.43434,1.48,499084
1.45455,1.48,502773
1.47475,1.48,507208
1.49495,1.48,471376
1.51515,1.48,484491
1.53535,1.48,498102
1.55556,1.48,512191
1.57576,1.48,526739
1.59596,1.48,511875
1.61616,1.48,516868
1.63636,1.48,521904
1.65657,1.48,526983
1.67677,1.48,532105
1.69697,1.48,537269
1.71717,1.48,542475
1.73737,1.48,547724
1.75758,1.48,553015
1.77778,1.48,558348
1.79798,1.48,563725
1.81818,1.48,569145
1.83838,1.48,574607
1.85859,1.48,580114
1.87879,1.48,585665
1.89899,1.48,591260
1.91919,1.48,596901
1.93939,1.48,602587
1.9596,1.48,608320
1.9798,1.48,614100
2,1.48,772344
0,1.5,140509
0.020202,1.5,160918
0.040404,1.5,173121
0.0606061,1.5,185915
0.0808081,1.5,199166
0.10101,1.5,212755
0.121212,1.5,226580
0.141414,1.5,240550
0.161616,1.5,254592
0.181818,1.5,268647
0.20202,1.5,282672
0.222222,1.5,296637
0.242424,1.5,310528
0.262626,1.5,324345
0.282828,1.5,338106
0.30303,1.5,351840
0.323232,1.5,365593
0.343434,1.5,379427
0.363636,1.5,393415
0.383838,1.5,325147
0.40404,1.5,306633
0.424242,1.5,379797
0.444444,1.5,379496
0.464646,1.5,484854
0.484848,1.5,514523
0.505051,1.5,545995
0.525253,1.5,578932
0.545455,1.5,613046
0.565657,1.5,648102
0.585859,1.5,683915
0.606061,1.5,720352
0.626263,1.5,757333
0.646465,1.5,794827
0.666667,1.5,832854
0.686869,1.5,871489
0.707071,1.5,910856
0.727273,1.5,1.16596e+06
0.747475,1.5,1.1081e+06
