Distance[um],dz[um],Mag_Ey
0,1.4,0
0.020202,1.4,94296.3
0.040404,1.4,187123
0.0606061,1.4,278515
0.0808081,1.4,470380
0.10101,1.4,537294
0.121212,1.4,601578
0.141414,1.4,663193
0.161616,1.4,722109
0.181818,1.4,778306
0.20202,1.4,831772
0.222222,1.4,882502
0.242424,1.4,930504
0.262626,1.4,975791
0.282828,1.4,1.01839e+06
0.30303,1.4,1.05832e+06
0.323232,1.4,1.09564e+06
0.343434,1.4,1.13039e+06
0.363636,1.4,1.05825e+06
0.383838,1.4,1.06598e+06
0.40404,1.4,1.08546e+06
0.424242,1.4,1.02101e+06
0.444444,1.4,1.03392e+06
0.464646,1.4,1.05412e+06
0.484848,1.4,1.08104e+06
0.505051,1.4,1.11405e+06
0.525253,1.4,1.15244e+06
0.545455,1.4,1.19544e+06
0.565657,1.4,1.49647e+06
0.585859,1.4,1.51285e+06
0.606061,1.4,1.53448e+06
0.626263,1.4,1.56138e+06
0.646465,1.4,1.59355e+06
0.666667,1.4,1.63085e+06
0.686869,1.4,1.67308e+06
0.707071,1.4,1.71997e+06
0.727273,1.4,1.77115e+06
0.747475,1.4,1.84381e+06
0.767677,1.4,1.86032e+06
0.787879,1.4,1.87662e+06
0.808081,1.4,1.89219e+06
0.828283,1.4,1.77855e+06
0.848485,1.4,1.80112e+06
0.868687,1.4,1.81565e+06
0.888889,1.4,1.82216e+06
0.909091,1.4,1.82076e+06
0.929293,1.4,1.81159e+06
0.949495,1.4,1.79486e+06
0.969697,1.4,1.77086e+06
0.989899,1.4,1.73991e+06
1.0101,1.4,1.70244e+06
1.0303,1.4,1.65889e+06
1.05051,1.4,1.32328e+06
1.07071,1.4,1.33947e+06
1.09091,1.4,1.3528e+06
1.11111,1.4,1.3642e+06
1.13131,1.4,1.37461e+06
1.15152,1.4,1.38493e+06
1.17172,1.4,1.39609e+06
1.19192,1.4,1.40898e+06
1.21212,1.4,1.4245e+06
1.23232,1.4,1.38409e+06
1.25253,1.4,1.2969e+06
1.27273,1.4,1.36494e+06
1.29293,1.4,1.31952e+06
1.31313,1.4,1.2774e+06
1.33333,1.4,1.23834e+06
1.35354,1.4,1.20206e+06
1.37374,1.4,1.16829e+06
1.39394,1.4,1.13673e+06
1.41414,1.4,1.1071e+06
1.43434,1.4,1.07909e+06
1.45455,1.4,1.05239e+06
1.47475,1.4,1.02668e+06
1.49495,1.4,1.00165e+06
1.51515,1.4,976944
1.53535,1.4,952229
1.55556,1.4,927153
1.57576,1.4,913619
1.59596,1.4,894726
1.61616,1.4,878585
1.63636,1.4,864474
1.65657,1.4,851724
1.67677,1.4,974501
1.69697,1.4,954658
1.71717,1.4,932994
1.73737,1.4,909246
1.75758,1.4,883177
1.77778,1.4,854578
1.79798,1.4,823264
1.81818,1.4,789075
1.83838,1.4,751881
1.85859,1.4,711574
1.87879,1.4,668075
1.89899,1.4,621327
1.91919,1.4,349532
1.93939,1.4,260267
1.9596,1.4,172261
1.9798,1.4,85507.5
2,1.4,0
0,1.42,0
0.020202,1.42,97203.1
0.040404,1.42,192891
0.0606061,1.42,393356
0.0808081,1.42,464724
0.10101,1.42,533512
0.121212,1.42,599681
0.141414,1.42,663198
0.161616,1.42,724044
0.181818,1.42,782203
0.20202,1.42,837673
0.222222,1.42,890459
0.242424,1.42,940573
0.262626,1.42,988038
0.282828,1.42,1.03289e+06
0.30303,1.42,1.07516e+06
0.323232,1.42,1.1149e+06
0.343434,1.42,1.15217e+06
0.363636,1.42,1.12205e+06
0.383838,1.42,1.13229e+06
0.40404,1.42,1.15539e+06
0.424242,1.42,1.09056e+06
0.444444,1.42,1.10632e+06
0.464646,1.42,1.12857e+06
0.484848,1.42,1.1567e+06
0.505051,1.42,1.18999e+06
0.525253,1.42,1.44599e+06
0.545455,1.42,1.45343e+06
0.565657,1.42,1.46627e+06
0.585859,1.42,1.48466e+06
0.606061,1.42,1.50867e+06
0.626263,1.42,1.5383e+06
0.646465,1.42,1.57345e+06
0.666667,1.42,1.61394e+06
0.686869,1.42,1.65953e+06
0.707071,1.42,1.70985e+06
0.727273,1.42,1.76449e+06
0.747475,1.42,1.82234e+06
0.767677,1.42,1.84214e+06
0.787879,1.42,1.86172e+06
0.808081,1.42,1.88056e+06
0.828283,1.42,1.89825e+06
0.848485,1.42,1.78789e+06
0.868687,1.42,1.80397e+06
0.888889,1.42,1.81167e+06
0.909091,1.42,1.81106e+06
0.929293,1.42,1.80229e+06
0.949495,1.42,1.78555e+06
0.969697,1.42,1.76112e+06
0.989899,1.42,1.72931e+06
1.0101,1.42,1.69052e+06
1.0303,1.42,1.6452e+06
1.05051,1.42,1.34502e+06
1.07071,1.42,1.35428e+06
1.09091,1.42,1.36073e+06
1.11111,1.42,1.36516e+06
1.13131,1.42,1.36835e+06
1.15152,1.42,1.37106e+06
1.17172,1.42,1.37407e+06
1.19192,1.42,1.37812e+06
1.21212,1.42,1.38395e+06
1.23232,1.42,1.41986e+06
1.25253,1.42,1.33087e+06
1.27273,1.42,1.43712e+06
1.29293,1.42,1.38936e+06
1.31313,1.42,1.34486e+06
1.33333,1.42,1.30335e+06
1.35354,1.42,1.26461e+06
1.37374,1.42,1.22836e+06
1.39394,1.42,1.19433e+06
1.41414,1.42,1.16226e+06
1.43434,1.42,1.13186e+06
1.45455,1.42,1.10284e+06
1.47475,1.42,1.07489e+06
1.49495,1.42,1.04771e+06
1.51515,1.42,1.02098e+06
1.53535,1.42,994375
1.55556,1.42,967564
1.57576,1.42,949631
1.59596,1.42,926609
1.61616,1.42,906731
1.63636,1.42,889252
1.65657,1.42,947968
1.67677,1.42,928707
1.69697,1.42,908217
1.71717,1.42,886187
1.73737,1.42,862334
1.75758,1.42,836401
1.77778,1.42,808157
1.79798,1.42,777396
1.81818,1.42,743940
1.83838,1.42,707634
1.85859,1.42,668352
1.87879,1.42,625993
1.89899,1.42,580480
1.91919,1.42,531766
1.93939,1.42,263743
1.9596,1.42,174595
1.9798,1.42,86682.3
2,1.42,0
0,1.44,0
0.020202,1.44,100118
0.040404,1.44,198680
0.0606061,1.44,387523
0.0808081,1.44,460853
0.10101,1.44,531604
0.121212,1.44,599745
0.141414,1.44,665253
0.161616,1.44,728115
0.181818,1.44,788324
0.20202,1.44,845885
0.222222,1.44,900811
0.242424,1.44,953123
0.262626,1.44,1.00285e+06
0.282828,1.44,1.05004e+06
0.30303,1.44,1.09472e+06
0.323232,1.44,1.13697e+06
0.343434,1.44,1.17685e+06
0.363636,1.44,1.21443e+06
0.383838,1.44,1.20196e+06
0.40404,1.44,1.1488e+06
0.424242,1.44,1.16026e+06
0.444444,1.44,1.17796e+06
0.464646,1.44,1.20128e+06
0.484848,1.44,1.41431e+06
0.505051,1.44,1.41219e+06
0.525253,1.44,1.41549e+06
0.545455,1.44,1.42448e+06
0.565657,1.44,1.43934e+06
0.585859,1.44,1.46016e+06
0.606061,1.44,1.48696e+06
0.626263,1.44,1.51967e+06
0.646465,1.44,1.55814e+06
0.666667,1.44,1.60212e+06
0.686869,1.44,1.65131e+06
0.707071,1.44,1.7053e+06
0.727273,1.44,1.78471e+06
0.747475,1.44,1.80794e+06
0.767677,1.44,1.83148e+06
0.787879,1.44,1.85476e+06
0.808081,1.44,1.87731e+06
0.828283,1.44,1.89868e+06
0.848485,1.44,1.7906e+06
0.868687,1.44,1.80867e+06
0.888889,1.44,1.81799e+06
0.909091,1.44,1.81865e+06
0.929293,1.44,1.81076e+06
0.949495,1.44,1.79452e+06
0.969697,1.44,1.77017e+06
0.989899,1.44,1.73804e+06
1.0101,1.44,1.6985e+06
1.0303,1.44,1.37896e+06
1.05051,1.44,1.38469e+06
1.07071,1.44,1.38707e+06
1.09091,1.44,1.38674e+06
1.11111,1.44,1.38433e+06
1.13131,1.44,1.38049e+06
1.15152,1.44,1.37584e+06
1.17172,1.44,1.37097e+06
1.19192,1.44,1.3665e+06
1.21212,1.44,1.36302e+06
1.23232,1.44,1.36111e+06
1.25253,1.44,1.56103e+06
1.27273,1.44,1.50787e+06
1.29293,1.44,1.4581e+06
1.31313,1.44,1.41149e+06
1.33333,1.44,1.36782e+06
1.35354,1.44,1.32687e+06
1.37374,1.44,1.28837e+06
1.39394,1.44,1.2521e+06
1.41414,1.44,1.21779e+06
1.43434,1.44,1.18517e+06
1.45455,1.44,1.15396e+06
1.47475,1.44,1.1239e+06
1.49495,1.44,1.09468e+06
1.51515,1.44,1.06602e+06
1.53535,1.44,1.03759e+06
1.55556,1.44,1.00909e+06
1.57576,1.44,987349
1.59596,1.44,960287
1.61616,1.44,936750
1.63636,1.44,926235
1.65657,1.44,906167
1.67677,1.44,885558
1.69697,1.44,864051
1.71717,1.44,841317
1.73737,1.44,817052
1.75758,1.44,790977
1.77778,1.44,762840
1.79798,1.44,732416
1.81818,1.44,699504
1.83838,1.44,663930
1.85859,1.44,625546
1.87879,1.44,584231
1.89899,1.44,539887
1.91919,1.44,492446
1.93939,1.44,441862
1.9596,1.44,176970
1.9798,1.44,87878.2
2,1.44,0
0,1.46,0
0.020202,1.46,103034
0.040404,1.46,305511
0.0606061,1.46,383421
0.0808081,1.46,458786
0.10101,1.46,531574
0.121212,1.46,601761
0.141414,1.46,669333
0.161616,1.46,734282
0.181818,1.46,796613
0.20202,1.46,856336
0.222222,1.46,913473
0.242424,1.46,968053
0.262626,1.46,1.02011e+06
0.282828,1.46,1.0697e+06
0.30303,1.46,1.11688e+06
0.323232,1.46,1.1617e+06
0.343434,1.46,1.20425e+06
0.363636,1.46,1.2446e+06
0.383838,1.46,1.27524e+06
0.40404,1.46,1.21628e+06
0.424242,1.46,1.22958e+06
0.444444,1.46,1.40304e+06
0.464646,1.46,1.39086e+06
0.484848,1.46,1.384e+06
0.505051,1.46,1.38283e+06
0.525253,1.46,1.38764e+06
0.545455,1.46,1.39864e+06
0.565657,1.46,1.41595e+06
0.585859,1.46,1.4396e+06
0.606061,1.46,1.46955e+06
0.626263,1.46,1.50567e+06
0.646465,1.46,1.54775e+06
0.666667,1.46,1.59549e+06
0.686869,1.46,1.64851e+06
0.707071,1.46,1.70635e+06
0.727273,1.46,1.77336e+06
0.747475,1.46,1.80077e+06
0.767677,1.46,1.82843e+06
0.787879,1.46,1.85581e+06
0.808081,1.46,1.88242e+06
0.828283,1.46,1.90785e+06
0.848485,1.46,1.93172e+06
0.868687,1.46,1.82935e+06
0.888889,1.46,1.84079e+06
0.909091,1.46,1.84321e+06
0.929293,1.46,1.83674e+06
0.949495,1.46,1.82154e+06
0.969697,1.46,1.79785e+06
0.989899,1.46,1.76599e+06
1.0101,1.46,1.7263e+06
1.0303,1.46,1.44248e+06
1.05051,1.46,1.44129e+06
1.07071,1.46,1.43703e+06
1.09091,1.46,1.43022e+06
1.11111,1.46,1.42133e+06
1.13131,1.46,1.41086e+06
1.15152,1.46,1.39926e+06
1.17172,1.46,1.387e+06
1.19192,1.46,1.37454e+06
1.21212,1.46,2.2108e+06
1.23232,1.46,1.76278e+06
1.25253,1.46,1.67342e+06
1.27273,1.46,1.61696e+06
1.29293,1.46,1.56646e+06
1.31313,1.46,1.52222e+06
1.33333,1.46,1.48443e+06
1.35354,1.46,1.38832e+06
1.37374,1.46,1.34784e+06
1.39394,1.46,1.30955e+06
1.41414,1.46,1.2732e+06
1.43434,1.46,1.23855e+06
1.45455,1.46,1.20535e+06
1.47475,1.46,1.17332e+06
1.49495,1.46,1.1422e+06
1.51515,1.46,1.1117e+06
1.53535,1.46,1.08153e+06
1.55556,1.46,1.05141e+06
1.57576,1.46,1.02645e+06
1.59596,1.46,995474
1.61616,1.46,912494
1.63636,1.46,890020
1.65657,1.46,867792
1.67677,1.46,845406
1.69697,1.46,822487
1.71717,1.46,798682
1.73737,1.46,773668
1.75758,1.46,747144
1.77778,1.46,718839
1.79798,1.46,688506
1.81818,1.46,655922
1.83838,1.46,620895
1.85859,1.46,583254
1.87879,1.46,542857
1.89899,1.46,499588
1.91919,1.46,453354
1.93939,1.46,404092
1.9596,1.46,351763
1.9798,1.46,89093.9
2,1.46,0
0,1.48,0
0.020202,1.48,218519
0.040404,1.48,301050
0.0606061,1.48,381062
0.0808081,1.48,458522
0.10101,1.48,533406
0.121212,1.48,605697
0.141414,1.48,675390
0.161616,1.48,742484
0.181818,1.48,806993
0.20202,1.48,868935
0.222222,1.48,928339
0.242424,1.48,985242
0.262626,1.48,1.03969e+06
0.282828,1.48,1.09174e+06
0.30303,1.48,1.14146e+06
0.323232,1.48,1.18891e+06
0.343434,1.48,1.14228e+06
0.363636,1.48,1.18446e+06
0.383838,1.48,1.22661e+06
0.40404,1.48,1.41374e+06
0.424242,1.48,1.39111e+06
0.444444,1.48,1.37358e+06
0.464646,1.48,1.36162e+06
0.484848,1.48,1.35563e+06
0.505051,1.48,1.35591e+06
0.525253,1.48,1.36271e+06
0.545455,1.48,1.37615e+06
0.565657,1.48,1.39631e+06
0.585859,1.48,1.42316e+06
0.606061,1.48,1.45659e+06
0.626263,1.48,1.49642e+06
0.646465,1.48,1.54238e+06
0.666667,1.48,1.5941e+06
0.686869,1.48,1.65114e+06
0.707071,1.48,1.71299e+06
0.727273,1.48,1.76896e+06
0.747475,1.48,1.80089e+06
0.767677,1.48,1.83303e+06
0.787879,1.48,1.86483e+06
0.808081,1.48,1.89583e+06
0.828283,1.48,1.92562e+06
0.848485,1.48,1.95383e+06
0.868687,1.48,1.98017e+06
0.888889,1.48,1.87929e+06
0.909091,1.48,1.88404e+06
0.929293,1.48,1.87955e+06
0.949495,1.48,1.86598e+06
0.969697,1.48,1.84357e+06
0.989899,1.48,1.8126e+06
1.0101,1.48,1.52571e+06
1.0303,1.48,1.52109e+06
1.05051,1.48,1.51339e+06
1.07071,1.48,1.50297e+06
1.09091,1.48,1.49018e+06
1.11111,1.48,1.47537e+06
1.13131,1.48,1.45885e+06
1.15152,1.48,1.44096e+06
1.17172,1.48,1.422e+06
1.19192,1.48,2.11771e+06
1.21212,1.48,2.08605e+06
1.23232,1.48,1.69343e+06
1.25253,1.48,1.63704e+06
1.27273,1.48,1.57351e+06
1.29293,1.48,1.51585e+06
1.31313,1.48,1.46454e+06
1.33333,1.48,1.41992e+06
1.35354,1.48,1.38222e+06
1.37374,1.48,1.35156e+06
1.39394,1.48,1.32794e+06
1.41414,1.48,1.31126e+06
1.43434,1.48,1.30127e+06
1.45455,1.48,1.29766e+06
1.47475,1.48,1.29995e+06
1.49495,1.48,1.18986e+06
1.51515,1.48,1.15766e+06
1.53535,1.48,1.12586e+06
1.55556,1.48,1.0942e+06
1.57576,1.48,1.06238e+06
1.59596,1.48,910371
1.61616,1.48,883686
1.63636,1.48,858131
1.65657,1.48,833257
1.67677,1.48,808640
1.69697,1.48,783882
1.71717,1.48,758612
1.73737,1.48,732483
1.75758,1.48,705176
1.77778,1.48,676398
1.79798,1.48,645881
1.81818,1.48,613382
1.83838,1.48,578687
1.85859,1.48,541605
1.87879,1.48,501973
1.89899,1.48,459654
1.91919,1.48,414535
1.93939,1.48,366532
1.9596,1.48,315584
1.9798,1.48,261657
2,1.48,0
0,1.5,349960
0.020202,1.5,247300
0.040404,1.5,303938
0.0606061,1.5,363004
0.0808081,1.5,423548
0.10101,1.5,484729
0.121212,1.5,545819
0.141414,1.5,606197
0.161616,1.5,665354
0.181818,1.5,722888
0.20202,1.5,778511
0.222222,1.5,832043
0.242424,1.5,883412
0.262626,1.5,932659
0.282828,1.5,979934
0.30303,1.5,1.0255e+06
0.323232,1.5,1.06972e+06
0.343434,1.5,1.11307e+06
0.363636,1.5,1.15615e+06
0.383838,1.5,1.10988e+06
0.40404,1.5,1.09184e+06
0.424242,1.5,1.14616e+06
0.444444,1.5,1.07163e+06
0.464646,1.5,1.33413e+06
0.484848,1.5,1.32951e+06
0.505051,1.5,1.33172e+06
0.525253,1.5,1.34093e+06
0.545455,1.5,1.35722e+06
0.565657,1.5,1.3806e+06
0.585859,1.5,1.41098e+06
0.606061,1.5,1.44819e+06
0.626263,1.5,1.492e+06
0.646465,1.5,1.54205e+06
0.666667,1.5,1.59795e+06
0.686869,1.5,1.65918e+06
0.707071,1.5,1.72517e+06
0.727273,1.5,1.77154e+06
0.747475,1.5,1.80831e+06
0.767677,1.5,1.84521e+06
0.787879,1.5,1.88172e+06
0.808081,1.5,1.91738e+06
0.828283,1.5,1.95178e+06
0.848485,1.5,1.98458e+06
0.868687,1.5,2.01549e+06
0.888889,1.5,1.9323e+06
0.909091,1.5,1.93997e+06
0.929293,1.5,1.93809e+06
0.949495,1.5,1.92679e+06
0.969697,1.5,1.90631e+06
0.989899,1.5,1.87692e+06
1.0101,1.5,1.62385e+06
1.0303,1.5,1.61281e+06
1.05051,1.5,1.59922e+06
1.07071,1.5,1.58331e+06
1.09091,1.5,1.56526e+06
1.11111,1.5,1.54527e+06
1.13131,1.5,1.52352e+06
1.15152,1.5,2.09071e+06
1.17172,1.5,2.05392e+06
1.19192,1.5,2.01604e+06
1.21212,1.5,1.64385e+06
1.23232,1.5,1.64023e+06
1.25253,1.5,1.64067e+06
1.27273,1.5,1.54469e+06
1.29293,1.5,1.47945e+06
1.31313,1.5,1.42043e+06
1.33333,1.5,1.36814e+06
1.35354,1.5,1.32294e+06
1.37374,1.5,1.28512e+06
1.39394,1.5,1.25482e+06
1.41414,1.5,1.23209e+06
1.43434,1.5,1.21684e+06
1.45455,1.5,1.2089e+06
1.47475,1.5,1.20796e+06
1.49495,1.5,1.2136e+06
1.51515,1.5,1.22529e+06
1.53535,1.5,1.24238e+06
1.55556,1.5,1.26411e+06
1.57576,1.5,1.08778e+06
1.59596,1.5,1.17508e+06
1.61616,1.5,1.10138e+06
1.63636,1.5,1.03376e+06
1.65657,1.5,970085
1.67677,1.5,908567
1.69697,1.5,847800
1.71717,1.5,786743
1.73737,1.5,724725
1.75758,1.5,661442
1.77778,1.5,596960
1.79798,1.5,531713
1.81818,1.5,466506
1.83838,1.5,402511
1.85859,1.5,341269
1.87879,1.5,284689
1.89899,1.5,235051
1.91919,1.5,195003
1.93939,1.5,167560
1.9596,1.5,156108
1.9798,1.5,164401
2,1.5,196562
0,1.52,0
0.020202,1.52,213241
0.040404,1.52,272486
0.0606061,1.52,333555
0.0808081,1.52,395567
0.10101,1.52,457751
0.121212,1.52,519448
0.141414,1.52,580105
0.161616,1.52,639282
0.181818,1.52,696649
0.20202,1.52,751984
0.222222,1.52,805176
0.242424,1.52,856224
0.262626,1.52,905237
0.282828,1.52,952434
0.30303,1.52,998144
0.323232,1.52,1.0428e+06
0.343434,1.52,1.08697e+06
0.363636,1.52,1.13129e+06
0.383838,1.52,1.06782e+06
0.40404,1.52,1.0481e+06
0.424242,1.52,1.15788e+06
0.444444,1.52,1.07726e+06
0.464646,1.52,1.00878e+06
0.484848,1.52,956198
0.505051,1.52,922450
0.525253,1.52,909636
0.545455,1.52,1.342e+06
0.565657,1.52,1.36893e+06
0.585859,1.52,1.40314e+06
0.606061,1.52,1.44441e+06
0.626263,1.52,1.49241e+06
0.646465,1.52,1.54677e+06
0.666667,1.52,1.60701e+06
0.686869,1.52,1.67256e+06
0.707071,1.52,1.73985e+06
0.727273,1.52,1.78108e+06
0.747475,1.52,1.82293e+06
0.767677,1.52,1.86483e+06
0.787879,1.52,1.90627e+06
0.808081,1.52,1.94681e+06
0.828283,1.52,1.98603e+06
0.848485,1.52,2.02362e+06
0.868687,1.52,2.05928e+06
0.888889,1.52,2.09279e+06
0.909091,1.52,2.00945e+06
0.929293,1.52,2.01083e+06
0.949495,1.52,2.0025e+06
0.969697,1.52,1.98465e+06
0.989899,1.52,1.74658e+06
1.0101,1.52,1.73193e+06
1.0303,1.52,1.71525e+06
1.05051,1.52,1.69661e+06
1.07071,1.52,1.67607e+06
1.09091,1.52,1.65368e+06
1.11111,1.52,2.10371e+06
1.13131,1.52,2.0645e+06
1.15152,1.52,2.02314e+06
1.17172,1.52,1.97994e+06
1.19192,1.52,1.9352e+06
1.21212,1.52,1.61689e+06
1.23232,1.52,1.60481e+06
1.25253,1.52,1.59676e+06
1.27273,1.52,1.5313e+06
1.29293,1.52,1.45835e+06
1.31313,1.52,1.39129e+06
1.33333,1.52,1.33078e+06
1.35354,1.52,1.27733e+06
1.37374,1.52,1.23139e+06
1.39394,1.52,1.19324e+06
1.41414,1.52,1.16309e+06
1.43434,1.52,1.14101e+06
1.45455,1.52,1.12696e+06
1.47475,1.52,1.12079e+06
1.49495,1.52,1.12223e+06
1.51515,1.52,1.13091e+06
1.53535,1.52,974609
1.55556,1.52,1.0098e+06
1.57576,1.52,1.0544e+06
1.59596,1.52,1.05093e+06
1.61616,1.52,1.08676e+06
1.63636,1.52,1.01545e+06
1.65657,1.52,949566
1.67677,1.52,887108
1.69697,1.52,826424
1.71717,1.52,766237
1.73737,1.52,705637
1.75758,1.52,644084
1.77778,1.52,581406
1.79798,1.52,517802
1.81818,1.52,453836
1.83838,1.52,390445
1.85859,1.52,328931
1.87879,1.52,270967
1.89899,1.52,218596
1.91919,1.52,174227
1.93939,1.52,140639
1.9596,1.52,120980
1.9798,1.52,118767
2,1.52,0
0,1.54,0
0.020202,1.54,83488.9
0.040404,1.54,244624
0.0606061,1.54,307384
0.0808081,1.54,370597
0.10101,1.54,433561
0.121212,1.54,495684
0.141414,1.54,556484
0.161616,1.54,615590
0.181818,1.54,672739
0.20202,1.54,727780
0.222222,1.54,780671
0.242424,1.54,831479
0.262626,1.54,880383
0.282828,1.54,927671
0.30303,1.54,973740
0.323232,1.54,1.0191e+06
0.343434,1.54,1.06436e+06
0.363636,1.54,1.04553e+06
0.383838,1.54,1.02759e+06
0.40404,1.54,1.00664e+06
0.424242,1.54,983243
0.444444,1.54,1.08554e+06
0.464646,1.54,1.01083e+06
0.484848,1.54,953367
0.505051,1.54,915901
0.525253,1.54,900370
0.545455,1.54,907876
0.565657,1.54,938696
0.585859,1.54,992275
0.606061,1.54,1.44523e+06
0.626263,1.54,1.49764e+06
0.646465,1.54,1.55647e+06
0.666667,1.54,1.62117e+06
0.686869,1.54,1.69113e+06
0.707071,1.54,1.75083e+06
0.727273,1.54,1.79744e+06
0.747475,1.54,1.84457e+06
0.767677,1.54,1.89167e+06
0.787879,1.54,1.93823e+06
0.808081,1.54,1.9838e+06
0.828283,1.54,2.028e+06
0.848485,1.54,2.07051e+06
0.868687,1.54,2.11105e+06
0.888889,1.54,2.14941e+06
0.909091,1.54,2.18543e+06
0.929293,1.54,2.09584e+06
0.949495,1.54,2.09119e+06
0.969697,1.54,2.07672e+06
0.989899,1.54,1.86707e+06
1.0101,1.54,1.847e+06
1.0303,1.54,1.82567e+06
1.05051,1.54,1.80301e+06
1.07071,1.54,2.15462e+06
1.09091,1.54,2.11515e+06
1.11111,1.54,2.07273e+06
1.13131,1.54,2.02759e+06
1.15152,1.54,1.97994e+06
1.17172,1.54,1.93006e+06
1.19192,1.54,1.63393e+06
1.21212,1.54,1.60938e+06
1.23232,1.54,1.58823e+06
1.25253,1.54,1.57101e+06
1.27273,1.54,1.53369e+06
1.29293,1.54,1.45318e+06
1.31313,1.54,1.37804e+06
1.33333,1.54,1.30905e+06
1.35354,1.54,1.2469e+06
1.37374,1.54,1.19217e+06
1.39394,1.54,1.14531e+06
1.41414,1.54,1.10666e+06
1.43434,1.54,1.07646e+06
1.45455,1.54,1.05481e+06
1.47475,1.54,1.04172e+06
1.49495,1.54,1.03707e+06
1.51515,1.54,920395
1.53535,1.54,944775
1.55556,1.54,977909
1.57576,1.54,1.0082e+06
1.59596,1.54,1.00508e+06
1.61616,1.54,1.07881e+06
1.63636,1.54,1.00259e+06
1.65657,1.54,933454
1.67677,1.54,869144
1.69697,1.54,807778
1.71717,1.54,747840
1.73737,1.54,688183
1.75758,1.54,628031
1.77778,1.54,566975
1.79798,1.54,504974
1.81818,1.54,442357
1.83838,1.54,379821
1.85859,1.54,318435
1.87879,1.54,259631
1.89899,1.54,205215
1.91919,1.54,157360
1.93939,1.54,118608
1.9596,1.54,91868.2
1.9798,1.54,58255.5
2,1.54,0
0,1.56,0
0.020202,1.56,81304.2
0.040404,1.56,162235
0.0606061,1.56,284779
0.0808081,1.56,348931
0.10101,1.56,412456
0.121212,1.56,474831
0.141414,1.56,535643
0.161616,1.56,594590
0.181818,1.56,651478
0.20202,1.56,706225
0.222222,1.56,758858
0.242424,1.56,809514
0.262626,1.56,858440
0.282828,1.56,905993
0.30303,1.56,952639
0.323232,1.56,998957
0.343434,1.56,1.04563e+06
0.363636,1.56,1.00898e+06
0.383838,1.56,989763
0.40404,1.56,968023
0.424242,1.56,944313
0.444444,1.56,919201
0.464646,1.56,1.01444e+06
0.484848,1.56,950991
0.505051,1.56,908961
0.525253,1.56,890104
0.545455,1.56,895354
0.565657,1.56,924814
0.585859,1.56,977761
