Distance[um],dz[um],Mag_Ez
0,1.4,3.21685e+06
0.020202,1.4,2.17557e+06
0.040404,1.4,1.91443e+06
0.0606061,1.4,1.6536e+06
0.0808081,1.4,1.74348e+06
0.10101,1.4,1.54939e+06
0.121212,1.4,1.3739e+06
0.141414,1.4,1.2269e+06
0.161616,1.4,1.11611e+06
0.181818,1.4,1.04702e+06
0.20202,1.4,1.02298e+06
0.222222,1.4,1.0451e+06
0.242424,1.4,1.11233e+06
0.262626,1.4,1.22142e+06
0.282828,1.4,1.36692e+06
0.30303,1.4,1.54121e+06
0.323232,1.4,1.73446e+06
0.343434,1.4,1.93465e+06
0.363636,1.4,2.05466e+06
0.383838,1.4,2.22743e+06
0.40404,1.4,2.39537e+06
0.424242,1.4,2.38855e+06
0.444444,1.4,2.45713e+06
0.464646,1.4,2.53017e+06
0.484848,1.4,2.60773e+06
0.505051,1.4,2.68994e+06
0.525253,1.4,2.77701e+06
0.545455,1.4,2.8692e+06
0.565657,1.4,2.59845e+06
0.585859,1.4,2.7277e+06
0.606061,1.4,2.85826e+06
0.626263,1.4,2.99005e+06
0.646465,1.4,3.123e+06
0.666667,1.4,3.25709e+06
0.686869,1.4,3.39235e+06
0.707071,1.4,3.52886e+06
0.727273,1.4,3.66672e+06
0.747475,1.4,3.82926e+06
0.767677,1.4,3.92259e+06
0.787879,1.4,4.01666e+06
0.808081,1.4,4.11038e+06
0.828283,1.4,3.9904e+06
0.848485,1.4,4.1209e+06
0.868687,1.4,4.24487e+06
0.888889,1.4,4.362e+06
0.909091,1.4,4.47205e+06
0.929293,1.4,4.5749e+06
0.949495,1.4,4.67052e+06
0.969697,1.4,4.75901e+06
0.989899,1.4,4.84053e+06
1.0101,1.4,4.91537e+06
1.0303,1.4,4.98393e+06
1.05051,1.4,4.97329e+06
1.07071,1.4,4.90387e+06
1.09091,1.4,4.83496e+06
1.11111,1.4,4.76749e+06
1.13131,1.4,4.70275e+06
1.15152,1.4,4.64235e+06
1.17172,1.4,4.58827e+06
1.19192,1.4,4.5428e+06
1.21212,1.4,4.5086e+06
1.23232,1.4,3.89762e+06
1.25253,1.4,3.72366e+06
1.27273,1.4,3.69603e+06
1.29293,1.4,3.57292e+06
1.31313,1.4,3.45198e+06
1.33333,1.4,3.3331e+06
1.35354,1.4,3.21623e+06
1.37374,1.4,3.10146e+06
1.39394,1.4,2.98895e+06
1.41414,1.4,2.87897e+06
1.43434,1.4,2.77191e+06
1.45455,1.4,2.66823e+06
1.47475,1.4,2.56851e+06
1.49495,1.4,2.47343e+06
1.51515,1.4,2.38376e+06
1.53535,1.4,2.30037e+06
1.55556,1.4,2.22426e+06
1.57576,1.4,2.27685e+06
1.59596,1.4,2.14451e+06
1.61616,1.4,2.00846e+06
1.63636,1.4,1.8664e+06
1.65657,1.4,1.71748e+06
1.67677,1.4,1.55912e+06
1.69697,1.4,1.45295e+06
1.71717,1.4,1.37628e+06
