dt[um],Distance[um],Mag_E[V_per_meter],Mag_E_1[V_per_meter],Mag_E_2[V_per_meter],Mag_E_3[V_per_meter],Mag_E_4[V_per_meter],Mag_E_5[V_per_meter],Mag_E_6[V_per_meter],Mag_E_7[V_per_meter],Mag_E_8[V_per_meter],Mag_E_9[V_per_meter],Mag_E_10[V_per_meter],Mag_E_11[V_per_meter],Mag_E_12[V_per_meter],Mag_E_13[V_per_meter],Mag_E_14[V_per_meter],Mag_E_15[V_per_meter],Mag_E_16[V_per_meter],Mag_E_18[V_per_meter],Mag_E_19[V_per_meter],Mag_E_20[V_per_meter],Mag_E_21[V_per_meter],Mag_E_22[V_per_meter],Mag_E_23[V_per_meter],Mag_E_24[V_per_meter],Mag_E_25[V_per_meter],Mag_E_26[V_per_meter],Mag_E_27[V_per_meter],Mag_E_28[V_per_meter],Mag_E_29[V_per_meter],Mag_E_30[V_per_meter],Mag_E_31[V_per_meter],Mag_E_32[V_per_meter],Mag_E_33[V_per_meter],Mag_E_34[V_per_meter],Mag_E_35[V_per_meter],Mag_E_36[V_per_meter],Mag_E_37[V_per_meter],Mag_E_38[V_per_meter],Mag_E_39[V_per_meter],Mag_E_40[V_per_meter],Mag_E_41[V_per_meter],Mag_E_42[V_per_meter],Mag_E_43[V_per_meter],Mag_E_44[V_per_meter],Mag_E_45[V_per_meter],Mag_E_46[V_per_meter],Mag_E_47[V_per_meter],Mag_E_48[V_per_meter],Mag_E_49[V_per_meter],Mag_E_50[V_per_meter],Mag_E_51[V_per_meter],Mag_E_52[V_per_meter],Mag_E_53[V_per_meter],Mag_E_54[V_per_meter],Mag_E_55[V_per_meter],Mag_E_56[V_per_meter],Mag_E_57[V_per_meter],Mag_E_58[V_per_meter],Mag_E_59[V_per_meter],Mag_E_60[V_per_meter],Mag_E_61[V_per_meter],Mag_E_62[V_per_meter],Mag_E_63[V_per_meter],Mag_E_64[V_per_meter],Mag_E_65[V_per_meter],Mag_E_66[V_per_meter],Mag_E_67[V_per_meter],Mag_E_68[V_per_meter],Mag_E_69[V_per_meter],Mag_E_70[V_per_meter],Mag_E_71[V_per_meter],Mag_E_72[V_per_meter],Mag_E_73[V_per_meter],Mag_E_74[V_per_meter],Mag_E_75[V_per_meter]
0.5,0,1.23204e+06,1.45363e+06,2.04189e+06,839709,812135,783846,712471,570164,458997,661418,780061,797206,932672,931167,803931,566385,940871,1.30361e+06,1.37604e+06,1.46658e+06,1.4286e+06,1.4847e+06,1.5006e+06,1.43879e+06,1.45234e+06,1.52499e+06,1.56325e+06,1.58119e+06,1.59822e+06,1.62581e+06,1.64997e+06,1.79866e+06,1.8193e+06,1.98338e+06,1.94933e+06,2.0188e+06,1.97033e+06,1.85794e+06,1.72321e+06,1.59546e+06,1.42346e+06,1.27103e+06,1.14332e+06,1.03229e+06,935608,848633,751370,638536,746334,626318,744149,702910,731918,643833,613516,645626,714000,634208,545947,488663,449467,440243,465712,493923,576135,979675,1.95963e+06,1.00903e+06,832254,764878,691955,611416,574388,534748,443254
0.5,0.0778947,1.34208e+06,1.56823e+06,2.11701e+06,973508,922672,930452,904406,814268,437158,769746,907435,823157,958299,1.04007e+06,914871,792120,1.27183e+06,1.16091e+06,1.15027e+06,1.20268e+06,1.18657e+06,1.22009e+06,1.24385e+06,1.19489e+06,1.20795e+06,1.26866e+06,1.31573e+06,1.34888e+06,1.38192e+06,1.41803e+06,1.44448e+06,1.55098e+06,1.57793e+06,1.71132e+06,1.79365e+06,1.88087e+06,1.88513e+06,1.82282e+06,1.72558e+06,1.64569e+06,1.51162e+06,1.36444e+06,1.22831e+06,1.10553e+06,1.00062e+06,908170,809976,697544,822426,813937,738979,659440,667276,578570,530957,576722,643955,609376,551200,491619,443167,422940,434236,437951,463111,745401,1.68684e+06,917534,799158,773641,737503,662482,614537,570092,475844
0.5,0.155789,1.42702e+06,1.65655e+06,2.16783e+06,1.09806e+06,987988,1.03502e+06,1.03788e+06,978263,533668,925590,1.06755e+06,928704,1.02456e+06,1.15638e+06,1.0558e+06,1.02748e+06,1.64319e+06,1.10466e+06,1.02523e+06,1.02901e+06,1.03507e+06,1.04116e+06,1.06578e+06,1.03821e+06,1.04732e+06,1.07817e+06,1.12335e+06,1.16517e+06,1.20827e+06,1.24605e+06,1.268e+06,1.31877e+06,1.34121e+06,1.4319e+06,1.62706e+06,1.71943e+06,1.76935e+06,1.75459e+06,1.6947e+06,1.66262e+06,1.57171e+06,1.43551e+06,1.29677e+06,1.1686e+06,1.06057e+06,965502,868978,758728,858795,1.05849e+06,861541,705670,665682,598782,560315,591838,611152,589876,550454,490795,439183,415808,416943,402735,377869,447370,1.44739e+06,834699,754291,756887,746343,682018,621346,573318,484966
0.5,0.233684,1.48846e+06,1.71924e+06,2.19423e+06,1.19013e+06,1.03728e+06,1.10554e+06,1.12273e+06,1.08392e+06,672375,1.07159e+06,1.20352e+06,1.04604e+06,1.10262e+06,1.25851e+06,1.19486e+06,1.24335e+06,2.01851e+06,1.10079e+06,987169,956501,980083,972686,992198,988834,992841,985263,1.01787e+06,1.05876e+06,1.10227e+06,1.13422e+06,1.14614e+06,1.14537e+06,1.15863e+06,1.2066e+06,1.49622e+06,1.59191e+06,1.68463e+06,1.70694e+06,1.67543e+06,1.68162e+06,1.62918e+06,1.50653e+06,1.36837e+06,1.23734e+06,1.12586e+06,1.02357e+06,925817,815438,885409,1.31185e+06,1.05144e+06,814908,725865,683763,664374,672600,633100,595914,557464,496275,443932,422340,422128,403284,355727,274011,1.34168e+06,813180,738940,750957,752451,694286,617693,559176,478013
0.5,0.311579,1.52725e+06,1.75557e+06,2.19519e+06,1.24903e+06,1.06878e+06,1.13904e+06,1.15696e+06,1.12905e+06,818378,1.19559e+06,1.30555e+06,1.15247e+06,1.17241e+06,1.33003e+06,1.30913e+06,1.42156e+06,2.33929e+06,1.11977e+06,1.00228e+06,957951,994796,992839,1.00559e+06,1.02695e+06,1.02642e+06,979021,991716,1.02329e+06,1.05793e+06,1.07722e+06,1.07425e+06,1.03149e+06,1.03273e+06,1.04382e+06,1.40196e+06,1.50153e+06,1.63338e+06,1.68016e+06,1.66707e+06,1.70062e+06,1.68195e+06,1.57699e+06,1.44084e+06,1.30294e+06,1.1836e+06,1.07158e+06,972335,860674,910086,1.56043e+06,1.25366e+06,947036,822824,800917,800334,787334,697604,625641,571187,504661,449543,431175,435993,424329,386144,311296,1.33186e+06,836352,743812,749798,753107,698210,603802,527489,454462
0.5,0.389474,1.42324e+06,1.63461e+06,2.03895e+06,1.21655e+06,1.01236e+06,1.06103e+06,1.06817e+06,1.04811e+06,878856,1.22775e+06,1.30272e+06,1.18318e+06,1.20503e+06,1.34865e+06,1.36083e+06,1.55962e+06,2.5436e+06,1.06765e+06,990326,975376,1.03316e+06,1.05759e+06,1.07054e+06,1.10806e+06,1.10291e+06,1.02835e+06,1.02123e+06,1.03864e+06,1.05909e+06,1.06326e+06,1.0456e+06,976730,948862,947442,1.33208e+06,1.437e+06,1.60206e+06,1.6662e+06,1.6594e+06,1.70641e+06,1.7043e+06,1.60964e+06,1.47801e+06,1.34208e+06,1.22226e+06,1.11042e+06,1.0154e+06,906109,927780,1.71416e+06,1.40134e+06,1.06761e+06,919171,902668,912994,887666,765442,650603,570047,500074,448544,442959,454938,465900,497045,760213,1.37584e+06,857677,735294,725706,722036,665852,560925,476450,421025
0.5,0.467368,1.25632e+06,1.45461e+06,1.83994e+06,1.14034e+06,896233,914447,903246,888645,896946,1.21396e+06,1.25371e+06,1.18031e+06,1.1985e+06,1.31031e+06,1.36007e+06,1.64855e+06,2.65978e+06,966487,948181,986581,1.08608e+06,1.15008e+06,1.16882e+06,1.22102e+06,1.20938e+06,1.11072e+06,1.08541e+06,1.08934e+06,1.09557e+06,1.0825e+06,1.04694e+06,951840,882025,871527,1.2732e+06,1.37823e+06,1.56859e+06,1.638e+06,1.62414e+06,1.66889e+06,1.66985e+06,1.58079e+06,1.45358e+06,1.32144e+06,1.20266e+06,1.09363e+06,1.00384e+06,895943,881739,1.80958e+06,1.50194e+06,1.16484e+06,1.00502e+06,989262,1.00677e+06,977211,839568,691628,580782,499936,448094,455719,483060,528839,645472,1.21716e+06,1.40503e+06,857480,712245,690751,678063,617943,503491,408028,362377
0.5,0.545263,1.15289e+06,1.34272e+06,1.70437e+06,1.10654e+06,836601,827750,795232,784358,961495,1.20531e+06,1.21499e+06,1.18466e+06,1.17346e+06,1.24282e+06,1.337e+06,1.70146e+06,2.73329e+06,888716,919018,997526,1.13049e+06,1.22975e+06,1.25578e+06,1.32678e+06,1.31148e+06,1.19241e+06,1.15426e+06,1.15045e+06,1.14876e+06,1.12514e+06,1.0778e+06,976987,882496,854733,1.22493e+06,1.3179e+06,1.50929e+06,1.57467e+06,1.55312e+06,1.58349e+06,1.58143e+06,1.50387e+06,1.38888e+06,1.26653e+06,1.15438e+06,1.05277e+06,971030,871920,844493,1.75861e+06,1.47249e+06,1.15663e+06,1.00794e+06,997506,1.0153e+06,984216,843781,685111,562442,484797,438276,454289,504787,581932,746527,1.40261e+06,1.25877e+06,788453,673304,661478,647818,582155,459259,356063,304783
0.5,0.623158,1.18856e+06,1.36955e+06,1.68295e+06,1.17999e+06,925877,904048,855694,846294,1.12051e+06,1.26079e+06,1.24254e+06,1.24073e+06,1.20495e+06,1.23808e+06,1.35762e+06,1.76082e+06,2.87336e+06,897059,945068,1.03682e+06,1.17023e+06,1.29656e+06,1.32779e+06,1.41843e+06,1.40615e+06,1.27536e+06,1.22865e+06,1.2193e+06,1.21206e+06,1.18384e+06,1.13197e+06,1.05469e+06,959675,911219,1.20054e+06,1.2692e+06,1.43203e+06,1.48942e+06,1.46942e+06,1.48548e+06,1.48194e+06,1.4223e+06,1.32617e+06,1.21814e+06,1.117e+06,1.02619e+06,954464,870771,849424,1.5834e+06,1.3262e+06,1.05419e+06,938768,944416,960784,928269,792698,646032,543578,484927,442088,452209,514629,602229,772867,1.38409e+06,956054,673074,633381,649324,645977,582232,456936,359978,296074
0.5,0.701053,1.22819e+06,1.39375e+06,1.6568e+06,1.2723e+06,1.05566e+06,1.02666e+06,968645,956243,1.26974e+06,1.3085e+06,1.26667e+06,1.29151e+06,1.26529e+06,1.27454e+06,1.40294e+06,1.83901e+06,3.03558e+06,910483,969034,1.07136e+06,1.20729e+06,1.36191e+06,1.39681e+06,1.50593e+06,1.49581e+06,1.35286e+06,1.29763e+06,1.28283e+06,1.26993e+06,1.23684e+06,1.17956e+06,1.12649e+06,1.04097e+06,990890,1.17832e+06,1.22144e+06,1.34412e+06,1.38424e+06,1.36337e+06,1.36642e+06,1.3595e+06,1.3142e+06,1.23709e+06,1.14602e+06,1.0582e+06,980134,917729,846137,824751,1.36398e+06,1.12109e+06,910457,842187,881332,906586,876370,745022,626178,558311,515258,465060,456408,510491,591805,749236,1.29385e+06,659082,576753,597946,628195,632114,577642,457635,376033,307833
