dt[um],Distance[um],Mag_E[V_per_meter],Mag_E_1[V_per_meter],Mag_E_2[V_per_meter],Mag_E_3[V_per_meter],Mag_E_4[V_per_meter],Mag_E_5[V_per_meter],Mag_E_6[V_per_meter],Mag_E_7[V_per_meter],Mag_E_8[V_per_meter],Mag_E_9[V_per_meter],Mag_E_10[V_per_meter],Mag_E_11[V_per_meter],Mag_E_12[V_per_meter],Mag_E_13[V_per_meter],Mag_E_14[V_per_meter],Mag_E_15[V_per_meter],Mag_E_16[V_per_meter],Mag_E_18[V_per_meter],Mag_E_19[V_per_meter],Mag_E_20[V_per_meter],Mag_E_21[V_per_meter],Mag_E_22[V_per_meter],Mag_E_23[V_per_meter],Mag_E_24[V_per_meter],Mag_E_25[V_per_meter],Mag_E_26[V_per_meter],Mag_E_27[V_per_meter],Mag_E_28[V_per_meter],Mag_E_29[V_per_meter],Mag_E_30[V_per_meter],Mag_E_31[V_per_meter],Mag_E_32[V_per_meter],Mag_E_33[V_per_meter],Mag_E_34[V_per_meter],Mag_E_35[V_per_meter],Mag_E_36[V_per_meter],Mag_E_37[V_per_meter],Mag_E_38[V_per_meter],Mag_E_39[V_per_meter],Mag_E_40[V_per_meter],Mag_E_41[V_per_meter],Mag_E_42[V_per_meter],Mag_E_43[V_per_meter],Mag_E_44[V_per_meter],Mag_E_45[V_per_meter],Mag_E_46[V_per_meter],Mag_E_47[V_per_meter],Mag_E_48[V_per_meter],Mag_E_49[V_per_meter],Mag_E_50[V_per_meter],Mag_E_51[V_per_meter],Mag_E_52[V_per_meter],Mag_E_53[V_per_meter],Mag_E_54[V_per_meter],Mag_E_55[V_per_meter],Mag_E_56[V_per_meter],Mag_E_57[V_per_meter],Mag_E_58[V_per_meter],Mag_E_59[V_per_meter],Mag_E_60[V_per_meter],Mag_E_61[V_per_meter],Mag_E_62[V_per_meter],Mag_E_63[V_per_meter],Mag_E_64[V_per_meter],Mag_E_65[V_per_meter],Mag_E_66[V_per_meter],Mag_E_67[V_per_meter],Mag_E_68[V_per_meter],Mag_E_69[V_per_meter],Mag_E_70[V_per_meter],Mag_E_71[V_per_meter],Mag_E_72[V_per_meter],Mag_E_73[V_per_meter],Mag_E_74[V_per_meter],Mag_E_75[V_per_meter]
0.5,0,757524,853288,1.0284e+06,668004,628221,678506,656336,662633,886376,876247,912773,915072,943288,975239,1.00895e+06,1.03478e+06,1.05832e+06,1.18319e+06,1.24495e+06,1.27116e+06,1.28908e+06,1.33516e+06,1.52224e+06,1.49235e+06,1.47851e+06,1.48206e+06,1.52129e+06,1.64503e+06,1.97637e+06,2.08686e+06,1.84162e+06,1.68016e+06,1.48027e+06,1.37756e+06,1.35153e+06,1.28241e+06,1.196e+06,1.04425e+06,967136,1.02324e+06,1.07748e+06,1.22407e+06,1.56559e+06,2.06246e+06,1.89486e+06,1.00406e+06,751369,450354,196016,477132,474779,411157,350525,338016,335861,278589,217978,172157,163101,177000,167624,112403,107457,166930,238809,344991,523582,586679,366762,361067,527471,679371,682043,598583,589991
0.5,0.0778947,732553,839268,1.02862e+06,605838,469839,622789,614651,609188,745575,828954,868417,874417,911080,956907,995587,1.02261e+06,1.06415e+06,1.17741e+06,1.24038e+06,1.2708e+06,1.28148e+06,1.30074e+06,1.4394e+06,1.35479e+06,1.33737e+06,1.35825e+06,1.40891e+06,1.51403e+06,1.76629e+06,1.83907e+06,1.66247e+06,1.55149e+06,1.39254e+06,1.34995e+06,1.33021e+06,1.26385e+06,1.18503e+06,1.04631e+06,949369,967818,981067,1.05853e+06,1.30809e+06,1.72779e+06,1.6211e+06,941845,753947,468761,195221,509292,524784,428284,378067,398706,411441,324223,248961,219521,231811,244026,235503,182861,165255,183792,199050,217447,503041,528072,402904,361455,461358,576541,587359,517289,515601
0.5,0.155789,764101,856789,1.03336e+06,613339,413771,609909,600477,578421,600595,758241,790499,799248,847131,914291,964374,998853,1.07839e+06,1.17072e+06,1.23504e+06,1.27435e+06,1.29093e+06,1.29131e+06,1.39432e+06,1.27951e+06,1.24726e+06,1.2602e+06,1.29301e+06,1.35403e+06,1.50164e+06,1.53873e+06,1.42648e+06,1.35849e+06,1.24731e+06,1.25957e+06,1.2501e+06,1.19018e+06,1.12547e+06,1.02154e+06,947136,945641,920059,914483,1.02416e+06,1.29769e+06,1.29463e+06,874246,749853,488590,213646,503134,534524,450398,457608,508264,537786,406428,296487,296135,336246,359973,370904,349375,347266,357797,345271,244085,429963,485942,438141,350435,384864,468850,489994,437124,442780
0.5,0.233684,858367,923269,1.07389e+06,698391,470663,648236,623631,576049,495061,721708,749858,762299,821761,910601,975331,1.02024e+06,1.14901e+06,1.21695e+06,1.28258e+06,1.3309e+06,1.36043e+06,1.35256e+06,1.44179e+06,1.33816e+06,1.28868e+06,1.26929e+06,1.25487e+06,1.24608e+06,1.26959e+06,1.26254e+06,1.21143e+06,1.17668e+06,1.11061e+06,1.16924e+06,1.16959e+06,1.1203e+06,1.07832e+06,1.02627e+06,991553,984771,938248,873985,855026,921280,942156,809492,742140,508464,247734,484741,534945,485478,550713,622996,666316,495158,348596,368995,428355,463743,493582,494924,508041,530456,518904,354460,335809,481441,480711,344502,314497,377772,408745,368322,376567
0.5,0.311579,954423,986013,1.10582e+06,793600,558394,680093,638637,568057,420850,701983,734799,753945,825412,932047,1.01196e+06,1.0676e+06,1.24767e+06,1.28817e+06,1.35402e+06,1.40892e+06,1.45174e+06,1.44347e+06,1.54115e+06,1.48262e+06,1.41971e+06,1.35457e+06,1.27336e+06,1.17712e+06,1.0621e+06,1.00265e+06,1.00895e+06,998778,978388,1.08008e+06,1.08533e+06,1.05169e+06,1.04445e+06,1.06573e+06,1.06693e+06,1.06109e+06,1.0145e+06,932891,841761,691124,604169,758801,734874,528635,293079,455098,525470,520313,631694,718877,772982,570195,389399,424859,496131,540570,586083,602078,624557,659485,654689,464488,245680,511399,523591,346310,255972,303926,339396,306274,312294
0.5,0.389474,924028,934609,1.03494e+06,744940,496564,574853,550246,489389,340886,660332,716115,749828,835041,947273,1.0374e+06,1.09893e+06,1.32348e+06,1.33661e+06,1.40014e+06,1.45942e+06,1.5137e+06,1.51574e+06,1.63871e+06,1.63029e+06,1.56606e+06,1.46245e+06,1.32215e+06,1.14855e+06,916345,830944,878619,881708,908132,1.02885e+06,1.03251e+06,1.01937e+06,1.04901e+06,1.13781e+06,1.19875e+06,1.20822e+06,1.17823e+06,1.11979e+06,1.0559e+06,861091,454378,708885,709570,527020,323071,393089,478017,533315,677173,766504,823778,614220,424487,461918,529729,574518,627811,648927,669561,706782,710951,569319,192253,544652,532730,320562,122195,123057,196770,211727,222158
0.5,0.467368,855373,852196,933774,669819,416043,448539,459104,445477,378699,625135,696569,736296,829927,939288,1.03598e+06,1.10227e+06,1.36792e+06,1.35425e+06,1.41738e+06,1.48158e+06,1.54555e+06,1.55988e+06,1.71012e+06,1.75713e+06,1.6992e+06,1.55781e+06,1.35591e+06,1.10331e+06,771931,696606,744883,754074,834482,973982,969114,981187,1.05085e+06,1.20739e+06,1.3232e+06,1.34952e+06,1.3453e+06,1.33073e+06,1.34146e+06,1.23371e+06,678048,714937,706901,542889,362480,329185,420279,535417,692159,778138,832193,629054,444191,469830,525009,565298,623163,645460,659026,690306,698387,653366,272330,621384,568542,347810,184071,149712,186928,217646,214478
0.5,0.545263,765342,747122,798894,607883,385416,355590,384850,409661,428897,512736,585026,654723,783485,906745,1.01462e+06,1.08924e+06,1.37188e+06,1.34719e+06,1.41257e+06,1.48116e+06,1.5518e+06,1.58186e+06,1.76145e+06,1.86116e+06,1.81174e+06,1.63527e+06,1.36393e+06,1.02008e+06,610145,594130,566728,572388,708348,863041,841754,880615,988835,1.20135e+06,1.35771e+06,1.39436e+06,1.4191e+06,1.45361e+06,1.53453e+06,1.51958e+06,920519,702420,668619,508664,340204,261316,341495,474391,626389,707674,763283,577487,399403,413150,457268,492668,551728,575073,583715,610261,614322,677382,459826,625780,525346,335381,289900,226372,182660,205066,187626
0.5,0.623158,692776,678757,702718,568408,378622,253825,288768,380992,461610,462529,530453,596633,734464,878373,1.01028e+06,1.10348e+06,1.38442e+06,1.37284e+06,1.44412e+06,1.5157e+06,1.58721e+06,1.63802e+06,1.85695e+06,2.00053e+06,1.96136e+06,1.76079e+06,1.42696e+06,999465,538224,607927,468165,459562,631349,777481,742509,802989,935902,1.175e+06,1.34697e+06,1.38358e+06,1.4316e+06,1.51107e+06,1.65229e+06,1.71192e+06,1.10061e+06,704109,631198,456384,289391,217569,276738,375090,493079,568911,630619,471465,311724,313190,343650,362871,410320,420151,405004,394896,408801,658111,632928,604706,401848,255212,302672,246922,171660,161708,140023
0.5,0.701053,634800,660333,681241,504455,281674,138019,234087,423353,555265,528413,647211,731299,863895,993886,1.11814e+06,1.20719e+06,1.46287e+06,1.45901e+06,1.52923e+06,1.59594e+06,1.65553e+06,1.72064e+06,1.98545e+06,2.17571e+06,2.14927e+06,1.93407e+06,1.55845e+06,1.08864e+06,627802,739721,536295,502699,686378,804076,761935,843522,990057,1.22907e+06,1.38564e+06,1.40551e+06,1.45844e+06,1.5644e+06,1.75229e+06,1.89409e+06,1.31128e+06,777241,654808,458677,300748,219574,256424,325629,389082,446652,497622,372785,258738,225744,228283,218603,234223,217305,193959,165378,206801,677649,879002,677177,349316,227515,332118,290207,200028,136591,114101
