Distance[um],dz[um],Mag_Ex_um,Mag_Ex_um
0,1.4,3.54367,1.5977
0.020202,1.4,3.47355,1.52074
0.040404,1.4,3.40541,1.4453
0.0606061,1.4,3.33921,1.37243
0.0808081,1.4,3.27489,1.3031
0.10101,1.4,3.21236,1.23823
0.121212,1.4,3.1515,1.17867
0.141414,1.4,3.09213,1.12521
0.161616,1.4,3.03406,1.07857
0.181818,1.4,2.97707,1.03941
0.20202,1.4,2.92087,1.00835
0.222222,1.4,2.86517,0.985903
0.242424,1.4,2.80964,0.972557
0.262626,1.4,2.75391,0.968719
0.282828,1.4,2.60887,0.853649
0.30303,1.4,2.47458,0.854067
0.323232,1.4,2.34069,0.860027
0.343434,1.4,2.20714,0.871509
0.363636,1.4,2.07387,0.888258
0.383838,1.4,1.94087,0.909778
0.40404,1.4,1.80811,0.935338
0.424242,1.4,1.9058,1.75721
0.444444,1.4,1.84722,1.73378
0.464646,1.4,1.49504,1.61185
0.484848,1.4,1.46586,1.65628
0.505051,1.4,1.44059,1.7017
0.525253,1.4,1.41938,1.74804
0.545455,1.4,1.40238,1.79523
0.565657,1.4,1.3897,1.84319
0.585859,1.4,1.38141,1.89188
0.606061,1.4,1.37753,1.94124
0.626263,1.4,1.37808,1.9912
0.646465,1.4,1.38302,2.04174
0.666667,1.4,1.39227,2.09281
0.686869,1.4,1.40574,2.14438
0.707071,1.4,1.42328,2.19641
0.727273,1.4,1.44473,2.24888
0.747475,1.4,2.12412,2.63659
0.767677,1.4,2.14336,2.63709
0.787879,1.4,2.16132,2.63989
0.808081,1.4,2.17837,2.645
0.828283,1.4,2.19481,2.65244
0.848485,1.4,1.28566,1.38632
0.868687,1.4,1.29882,1.36496
0.888889,1.4,1.31218,1.3449
0.909091,1.4,1.32576,1.32618
0.929293,1.4,1.33953,1.30888
0.949495,1.4,1.48397,1.4011
0.969697,1.4,1.48439,1.38406
0.989899,1.4,1.48545,1.36703
1.0101,1.4,1.48715,1.35
1.0303,1.4,1.48951,1.33299
1.05051,1.4,1.49251,1.31598
1.07071,1.4,1.35125,1.16147
1.09091,1.4,1.3501,1.1419
1.11111,1.4,1.34962,1.12241
1.13131,1.4,1.34982,1.10301
1.15152,1.4,2.29851,2.68712
1.17172,1.4,2.25745,2.58815
1.19192,1.4,2.21653,2.49085
1.21212,1.4,2.17578,2.39527
1.23232,1.4,2.13522,2.30151
1.25253,1.4,2.12313,1.81013
1.27273,1.4,2.10366,1.72713
1.29293,1.4,2.08732,1.64559
1.31313,1.4,2.07422,1.56573
1.33333,1.4,2.06445,1.48778
1.35354,1.4,2.0581,1.41202
1.37374,1.4,2.05521,1.33872
1.39394,1.4,2.05579,1.2682
1.41414,1.4,2.05986,1.20081
1.43434,1.4,2.06738,1.13691
1.45455,1.4,2.07831,1.07688
1.47475,1.4,2.09258,1.02115
1.49495,1.4,2.11008,0.97014
1.51515,1.4,2.1307,0.924326
1.53535,1.4,2.1543,0.884192
1.55556,1.4,2.1807,0.850254
1.57576,1.4,1.78317,0.807603
1.59596,1.4,1.79755,0.808918
1.61616,1.4,1.75265,0.603775
1.63636,1.4,1.65691,0.806172
1.65657,1.4,1.65633,0.806442
1.67677,1.4,1.65622,0.807715
1.69697,1.4,1.6565,0.810015
1.71717,1.4,1.6571,0.813357
1.73737,1.4,1.65794,0.817751
1.75758,1.4,1.65895,0.823201
1.77778,1.4,1.66008,0.829704
1.79798,1.4,1.66126,0.83725
1.81818,1.4,1.66246,0.845821
1.83838,1.4,1.66364,0.855396
1.85859,1.4,1.66476,0.865943
1.87879,1.4,1.66579,0.877426
1.89899,1.4,1.66672,0.889803
1.91919,1.4,1.66753,0.903022
1.93939,1.4,1.66822,0.917029
1.9596,1.4,1.66878,0.931759
1.9798,1.4,1.66923,0.947143
2,1.4,1.66957,0.963105
0,1.42,3.74802,1.56372
0.020202,1.42,3.6796,1.48461
0.040404,1.42,3.61344,1.40766
0.0606061,1.42,3.54945,1.33395
0.0808081,1.42,3.48747,1.26452
0.10101,1.42,3.42733,1.20032
0.121212,1.42,3.36883,1.14226
0.141414,1.42,3.3117,1.09117
0.161616,1.42,3.25568,1.04783
0.181818,1.42,3.20045,1.01295
0.20202,1.42,3.17193,0.854111
0.222222,1.42,3.0335,0.834798
0.242424,1.42,2.89557,0.820571
0.262626,1.42,2.75807,0.812137
0.282828,1.42,2.62091,0.809962
0.30303,1.42,2.48404,0.814278
0.323232,1.42,2.34741,0.825073
0.343434,1.42,2.21101,0.842103
0.363636,1.42,2.07481,0.864881
0.383838,1.42,1.93881,0.892686
0.40404,1.42,1.80304,0.924556
0.424242,1.42,1.82137,1.75347
0.444444,1.42,1.76064,1.73161
0.464646,1.42,1.7138,1.71228
0.484848,1.42,1.42977,1.61428
0.505051,1.42,1.40991,1.66048
0.525253,1.42,1.39466,1.70738
0.545455,1.42,1.38409,1.75491
0.565657,1.42,1.37826,1.80302
0.585859,1.42,1.37716,1.85166
0.606061,1.42,1.38079,1.90079
0.626263,1.42,1.38906,1.95037
0.646465,1.42,1.4019,2.00037
0.666667,1.42,1.41917,2.05075
0.686869,1.42,1.44071,2.10151
0.707071,1.42,1.46632,2.15262
0.727273,1.42,1.49576,2.20407
0.747475,1.42,2.2592,2.64401
0.767677,1.42,2.27686,2.64604
0.787879,1.42,2.29404,2.65041
0.808081,1.42,2.31095,2.65713
0.828283,1.42,2.32773,2.66616
0.848485,1.42,2.34441,2.67748
0.868687,1.42,1.3213,1.3457
0.888889,1.42,1.33643,1.32635
0.909091,1.42,1.35175,1.30846
0.929293,1.42,1.52123,1.40338
0.949495,1.42,1.51735,1.38609
0.969697,1.42,1.51409,1.36879
0.989899,1.42,1.51145,1.3515
1.0101,1.42,1.50944,1.33422
1.0303,1.42,1.50807,1.31693
1.05051,1.42,1.50733,1.29965
1.07071,1.42,1.50723,1.28238
1.09091,1.42,1.35697,1.13733
1.11111,1.42,1.35332,1.1186
1.13131,1.42,2.42499,2.86785
1.15152,1.42,2.38344,2.78094
1.17172,1.42,2.34198,2.69593
1.19192,1.42,2.30062,2.61279
1.21212,1.42,2.25941,2.53155
1.23232,1.42,2.21836,2.45222
1.25253,1.42,2.25144,2.07288
1.27273,1.42,2.22486,1.98703
1.29293,1.42,2.20157,1.90238
1.31313,1.42,2.18171,1.81912
1.33333,1.42,2.16541,1.73743
1.35354,1.42,2.15278,1.65752
1.37374,1.42,2.1439,1.57964
1.39394,1.42,2.13884,1.50405
1.41414,1.42,2.13762,1.43104
1.43434,1.42,2.14025,1.36093
1.45455,1.42,2.14672,1.29406
1.47475,1.42,2.157,1.2308
1.49495,1.42,2.17102,1.17153
1.51515,1.42,2.18869,1.11667
1.53535,1.42,2.20991,1.06665
1.55556,1.42,2.23454,1.02196
1.57576,1.42,2.26242,0.983061
1.59596,1.42,2.40081,1.06373
1.61616,1.42,1.84498,0.633127
1.63636,1.42,1.75495,0.766272
1.65657,1.42,1.7548,0.766138
1.67677,1.42,1.75542,0.767235
1.69697,1.42,1.75669,0.769583
1.71717,1.42,1.7585,0.773197
1.73737,1.42,1.76075,0.778083
1.75758,1.42,1.76335,0.784241
1.77778,1.42,1.76622,0.791665
1.79798,1.42,1.76928,0.800342
1.81818,1.42,1.77244,0.810253
1.83838,1.42,1.77566,0.821371
1.85859,1.42,1.77887,0.833664
1.87879,1.42,1.78201,0.847091
1.89899,1.42,1.78504,0.861607
1.91919,1.42,1.78793,0.877159
1.93939,1.42,1.79063,0.893688
1.9596,1.42,1.79313,0.911127
1.9798,1.42,1.79541,0.929403
2,1.42,1.79744,0.948438
0,1.44,3.96209,1.52477
0.020202,1.44,3.8984,1.44399
0.040404,1.44,3.83714,1.36607
0.0606061,1.44,3.77813,1.29217
0.0808081,1.44,3.72113,1.22336
0.10101,1.44,3.6659,1.16065
0.121212,1.44,3.61213,1.10499
0.141414,1.44,3.60752,0.896518
0.161616,1.44,3.46537,0.862066
0.181818,1.44,3.32375,0.831513
0.20202,1.44,3.18258,0.806053
0.222222,1.44,3.04175,0.786638
0.242424,1.44,2.90122,0.773984
0.262626,1.44,2.76093,0.768568
0.282828,1.44,2.62083,0.770628
0.30303,1.44,2.48091,0.780167
0.323232,1.44,2.34116,0.796947
0.343434,1.44,2.20158,0.820492
0.363636,1.44,2.06218,0.85009
0.383838,1.44,1.92301,0.88479
0.40404,1.44,1.78412,0.923401
0.424242,1.44,1.73336,1.74885
0.444444,1.44,1.67355,1.72833
0.464646,1.44,1.62969,1.7104
0.484848,1.44,1.5986,1.69522
0.505051,1.44,1.38357,1.62315
0.525253,1.44,1.37511,1.67007
0.545455,1.44,1.37172,1.71743
0.565657,1.44,1.3734,1.76519
0.585859,1.44,1.38008,1.81332
0.606061,1.44,1.3917,1.86178
0.626263,1.44,1.40811,1.91054
0.646465,1.44,1.42918,1.9596
0.666667,1.44,1.4547,2.00892
0.686869,1.44,1.48446,2.05851
0.707071,1.44,1.5182,2.10835
0.727273,1.44,1.55561,2.15845
0.747475,1.44,2.40982,2.66246
0.767677,1.44,2.42635,2.66604
0.787879,1.44,2.44304,2.672
0.808081,1.44,2.45995,2.68033
0.828283,1.44,2.47706,2.69098
0.848485,1.44,2.49423,2.70389
0.868687,1.44,2.51124,2.719
0.888889,1.44,1.37315,1.30705
0.909091,1.44,1.39018,1.29007
0.929293,1.44,1.56935,1.38763
0.949495,1.44,1.56202,1.37019
0.969697,1.44,1.55527,1.35275
0.989899,1.44,1.54911,1.33531
1.0101,1.44,1.54354,1.31787
1.0303,1.44,1.53858,1.30043
