Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
0,1.4,0,0
0.020202,1.4,0.160077,0.155772
0.040404,1.4,0.310748,0.301397
0.0606061,1.4,0.452036,0.436873
0.0808081,1.4,0.583976,0.562202
0.10101,1.4,0.706615,0.677384
0.121212,1.4,0.82001,0.782418
0.141414,1.4,0.924235,0.877304
0.161616,1.4,1.01937,0.962044
0.181818,1.4,1.10551,1.03664
0.20202,1.4,1.18277,1.10108
0.222222,1.4,1.25125,1.15538
0.242424,1.4,1.3111,1.19953
0.262626,1.4,1.36246,1.23353
0.282828,1.4,1.84952,1.60424
0.30303,1.4,1.87894,1.56777
0.323232,1.4,1.90386,1.52455
0.343434,1.4,1.92374,1.47455
0.363636,1.4,1.9383,1.41786
0.383838,1.4,1.94755,1.35465
0.40404,1.4,1.95174,1.28517
0.424242,1.4,1.8804,1.14467
0.444444,1.4,1.77718,0.955858
0.464646,1.4,1.81679,1.07279
0.484848,1.4,1.73879,0.930765
0.505051,1.4,1.66025,0.810355
0.525253,1.4,1.58081,0.717797
0.545455,1.4,1.50026,0.657305
0.565657,1.4,1.41852,0.631062
0.585859,1.4,1.33562,0.639228
0.606061,1.4,1.25174,0.679931
0.626263,1.4,1.16716,0.749274
0.646465,1.4,1.08232,0.841331
0.666667,1.4,0.997761,0.94815
0.686869,1.4,0.914171,1.05975
0.707071,1.4,0.832356,1.16412
0.727273,1.4,0.753252,1.24722
0.747475,1.4,0.651125,1.2817
0.767677,1.4,0.622769,1.38327
0.787879,1.4,0.650608,1.49336
0.808081,1.4,0.723022,1.60868
0.828283,1.4,0.82965,1.72655
0.848485,1.4,0.251937,0.695261
0.868687,1.4,0.230025,0.631404
0.888889,1.4,0.208717,0.565335
0.909091,1.4,0.18947,0.497421
0.929293,1.4,0.174055,0.428259
0.949495,1.4,0.160658,0.301226
0.969697,1.4,0.136784,0.241991
0.989899,1.4,0.11589,0.202558
1.0101,1.4,0.0989969,0.194931
1.0303,1.4,0.0885718,0.220754
1.05051,1.4,0.0885273,0.27131
1.07071,1.4,0.0778168,0.467363
1.09091,1.4,0.0586412,0.524461
1.11111,1.4,0.066435,0.583148
1.13131,1.4,0.0931947,0.642056
1.15152,1.4,0.715716,1.79519
1.17172,1.4,0.637133,1.68381
1.19192,1.4,0.592423,1.56908
1.21212,1.4,0.585887,1.45202
1.23232,1.4,0.620363,1.33411
1.25253,1.4,0.72306,1.2626
1.27273,1.4,0.812647,1.14629
1.29293,1.4,0.906247,1.04695
1.31313,1.4,1.00157,0.967186
1.33333,1.4,1.09668,0.909162
1.35354,1.4,1.18997,0.874592
1.37374,1.4,1.28019,0.864739
1.39394,1.4,1.36642,0.88042
1.41414,1.4,1.44809,0.922002
1.43434,1.4,1.52497,0.989403
1.45455,1.4,1.59717,1.08209
1.47475,1.4,1.66515,1.19909
1.49495,1.4,1.72972,1.33898
1.51515,1.4,1.79201,1.49986
1.53535,1.4,1.85351,1.67943
1.55556,1.4,1.91605,1.87491
1.57576,1.4,0.98879,0.350314
1.59596,1.4,0.989733,0.428221
1.61616,1.4,1.09756,0.544227
1.63636,1.4,1.50571,1.36046
1.65657,1.4,1.47531,1.34711
1.67677,1.4,1.43889,1.32657
1.69697,1.4,1.39639,1.29881
1.71717,1.4,1.34775,1.2638
1.73737,1.4,1.29295,1.22149
1.75758,1.4,1.23192,1.17188
1.77778,1.4,1.16462,1.11493
1.79798,1.4,1.09102,1.05063
1.81818,1.4,1.01106,0.978948
1.83838,1.4,0.924719,0.899874
1.85859,1.4,0.83195,0.813394
1.87879,1.4,0.732722,0.719495
1.89899,1.4,0.627001,0.61817
1.91919,1.4,0.514757,0.509411
1.93939,1.4,0.395961,0.393215
1.9596,1.4,0.270585,0.26958
1.9798,1.4,0.138606,0.138507
2,1.4,0,0
0,1.42,0,0
0.020202,1.42,0.156712,0.15147
0.040404,1.42,0.304101,0.292794
0.0606061,1.42,0.442201,0.423969
0.0808081,1.42,0.571059,0.544998
0.10101,1.42,0.690734,0.65588
0.121212,1.42,0.801297,0.756615
0.141414,1.42,0.902831,0.847203
0.161616,1.42,0.99543,0.927644
0.181818,1.42,1.0792,0.997938
0.20202,1.42,1.64146,1.61243
0.222222,1.42,1.67935,1.6043
0.242424,1.42,1.71662,1.59
0.262626,1.42,1.75176,1.56926
0.282828,1.42,1.78349,1.54187
0.30303,1.42,1.81084,1.50769
0.323232,1.42,1.83308,1.46669
0.343434,1.42,1.84977,1.41892
0.363636,1.42,1.8607,1.36451
0.383838,1.42,1.86597,1.30366
0.40404,1.42,1.86591,1.23668
0.424242,1.42,1.79423,1.10493
0.444444,1.42,1.69125,0.922095
0.464646,1.42,1.60588,0.763993
0.484848,1.42,1.63803,0.870357
0.505051,1.42,1.56367,0.761284
0.525253,1.42,1.48818,0.679473
0.545455,1.42,1.41138,0.62892
0.565657,1.42,1.33322,0.611594
0.585859,1.42,1.25378,0.627433
0.606061,1.42,1.17328,0.674351
0.626263,1.42,1.09206,0.748231
0.646465,1.42,1.01058,0.842932
0.666667,1.42,0.929434,0.950281
0.686869,1.42,0.84935,1.06008
0.707071,1.42,0.771175,1.1601
0.727273,1.42,0.69589,1.2361
0.747475,1.42,0.610893,1.26717
0.767677,1.42,0.59378,1.36495
0.787879,1.42,0.628292,1.47032
0.808081,1.42,0.70348,1.5803
0.828283,1.42,0.809649,1.69248
0.848485,1.42,0.938364,1.8051
0.868687,1.42,0.243893,0.653379
0.888889,1.42,0.220754,0.582988
0.909091,1.42,0.199436,0.510171
0.929293,1.42,0.20834,0.365379
0.949495,1.42,0.180157,0.294085
0.969697,1.42,0.1538,0.224664
0.989899,1.42,0.128734,0.179685
1.0101,1.42,0.105867,0.171361
1.0303,1.42,0.0875558,0.201541
1.05051,1.42,0.0776032,0.261719
1.07071,1.42,0.0812583,0.333026
1.09091,1.42,0.0758718,0.538904
1.11111,1.42,0.0648489,0.600937
1.13131,1.42,0.814616,1.91334
1.15152,1.42,0.709816,1.81845
1.17172,1.42,0.631048,1.71947
1.19192,1.42,0.583726,1.61678
1.21212,1.42,0.571798,1.51114
1.23232,1.42,0.59775,1.40381
1.25253,1.42,0.681232,1.33481
1.27273,1.42,0.7678,1.22733
1.29293,1.42,0.857948,1.13001
1.31313,1.42,0.949337,1.04613
1.33333,1.42,1.03997,0.978507
1.35354,1.42,1.1282,0.92952
1.37374,1.42,1.21272,0.901096
1.39394,1.42,1.29255,0.894713
1.41414,1.42,1.36707,0.911402
1.43434,1.42,1.436,0.951742
1.45455,1.42,1.49941,1.01587
1.47475,1.42,1.5577,1.10346
1.49495,1.42,1.61162,1.21375
1.51515,1.42,1.66225,1.34554
1.53535,1.42,1.71104,1.49715
1.55556,1.42,1.75975,1.66647
1.57576,1.42,1.81051,1.85095
1.59596,1.42,2.22987,2.04252
1.61616,1.42,1.79972,1.67108
1.63636,1.42,1.47021,1.29971
1.65657,1.42,1.4403,1.28978
1.67677,1.42,1.40459,1.27265
1.69697,1.42,1.36303,1.2483
1.71717,1.42,1.31554,1.21668
1.73737,1.42,1.26207,1.17778
1.75758,1.42,1.20257,1.13155
1.77778,1.42,1.13697,1.07799
1.79798,1.42,1.06524,1.01707
1.81818,1.42,0.987315,0.94876
1.83838,1.42,0.903149,0.873058
1.85859,1.42,0.812696,0.789944
1.87879,1.42,0.715911,0.699408
1.89899,1.42,0.612753,0.601441
1.91919,1.42,0.50318,0.496036
1.93939,1.42,0.387154,0.383189
1.9596,1.42,0.264638,0.2629
1.9798,1.42,0.135598,0.135169
2,1.42,0,0
0,1.44,0,0
0.020202,1.44,0.153473,0.147171
0.040404,1.44,0.297717,0.284195
0.0606061,1.44,0.432778,0.411072
