Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
0,1.4,0.590692,0.753885
0.020202,1.4,0.68643,0.761188
0.040404,1.4,0.783658,0.769559
0.0606061,1.4,0.88111,0.778653
0.0808081,1.4,0.97763,0.78815
0.10101,1.4,1.07217,0.797762
0.121212,1.4,1.1638,0.807234
0.141414,1.4,1.25168,0.816337
0.161616,1.4,1.33511,0.824875
0.181818,1.4,1.41348,0.832681
0.20202,1.4,1.48628,0.839619
0.222222,1.4,1.55314,0.845583
0.242424,1.4,1.61377,0.850497
0.262626,1.4,1.668,0.854317
0.282828,1.4,1.54191,0.880901
0.30303,1.4,1.60221,0.892194
0.323232,1.4,1.65807,0.90359
0.343434,1.4,1.70936,0.914315
0.363636,1.4,1.75606,0.923904
0.383838,1.4,1.79826,0.9322
0.40404,1.4,1.83611,0.939354
0.424242,1.4,1.94753,1.04979
0.444444,1.4,1.82237,0.996966
0.464646,1.4,1.57202,0.824569
0.484848,1.4,1.49546,0.789906
0.505051,1.4,1.42222,0.758623
0.525253,1.4,1.3522,0.730492
0.545455,1.4,1.28531,0.705309
0.565657,1.4,1.22143,0.682898
0.585859,1.4,1.16044,0.663109
0.606061,1.4,1.10222,0.645818
0.626263,1.4,1.04663,0.630926
0.646465,1.4,0.993535,0.618365
0.666667,1.4,0.942775,0.608087
0.686869,1.4,0.894198,0.600076
0.707071,1.4,0.847636,0.594339
0.727273,1.4,0.802917,0.590911
0.747475,1.4,0.830339,0.657408
0.767677,1.4,0.827647,0.665619
0.787879,1.4,0.829274,0.679883
0.808081,1.4,0.823561,0.703478
0.828283,1.4,0.807766,0.734809
0.848485,1.4,0.989697,1.03854
0.868687,1.4,0.91926,0.940532
0.888889,1.4,0.844212,0.849135
0.909091,1.4,0.762233,0.758739
0.929293,1.4,0.672046,0.665748
0.949495,1.4,0.294216,0.4222
0.969697,1.4,0.255566,0.572426
0.989899,1.4,0.26354,0.739199
1.0101,1.4,0.309238,0.911472
1.0303,1.4,0.38535,1.08565
1.05051,1.4,0.486162,1.26561
1.07071,1.4,0.574774,1.40879
1.09091,1.4,0.686325,1.55672
1.11111,1.4,0.7923,1.69128
1.13131,1.4,0.889012,1.81263
1.15152,1.4,0.4339,0.969365
1.17172,1.4,0.456448,0.877162
1.19192,1.4,0.489765,0.790938
1.21212,1.4,0.533176,0.712894
1.23232,1.4,0.611506,0.646111
1.25253,1.4,0.534408,0.573144
1.27273,1.4,0.501588,0.53282
1.29293,1.4,0.468359,0.489211
1.31313,1.4,0.437697,0.443828
1.33333,1.4,0.412049,0.398461
1.35354,1.4,0.393333,0.355176
1.37374,1.4,0.382933,0.316312
1.39394,1.4,0.381708,0.284485
1.41414,1.4,0.389983,0.26259
